id,n_candidate_words,n_keywords_in_graph,group
2,24,2,sparse
3,14,4,sparse
4,42,4,sparse
20,30,15,dense
21,48,12,dense
22,25,13,dense
23,79,34,dense
24,31,10,dense
25,51,20,dense
26,25,9,sparse
27,40,10,dense
28,38,16,dense
29,61,21,dense
30,50,15,dense
31,49,28,dense
32,41,14,dense
33,32,16,dense
34,34,13,dense
35,45,17,dense
36,45,11,dense
37,48,22,dense
38,34,6,sparse
39,36,23,dense
40,34,11,dense
41,53,22,dense
193,24,4,sparse
194,33,14,dense
195,22,12,dense
196,69,9,sparse
197,45,13,dense
198,67,15,dense
199,71,16,dense
200,38,8,sparse
201,27,6,sparse
202,71,28,dense
203,48,19,dense
204,81,29,dense
205,35,20,dense
206,34,11,dense
207,38,12,dense
208,56,11,dense
209,25,7,sparse
210,52,16,dense
211,62,8,sparse
212,20,11,dense
213,61,20,dense
214,45,24,dense
215,80,38,dense
216,67,29,dense
217,18,9,sparse
218,15,7,sparse
219,11,7,sparse
220,13,6,sparse
223,15,5,sparse
224,18,7,sparse
225,36,8,sparse
226,14,5,sparse
227,22,12,dense
228,78,32,dense
229,14,7,sparse
230,15,8,sparse
231,10,3,sparse
232,59,18,dense
233,46,16,dense
234,29,16,dense
235,37,18,dense
236,31,19,dense
237,42,6,sparse
238,41,17,dense
239,62,16,dense
240,40,20,dense
241,30,13,dense
242,40,10,dense
243,42,34,dense
244,38,11,dense
245,48,22,dense
246,45,24,dense
247,70,21,dense
248,48,21,dense
249,24,16,dense
250,23,12,dense
251,22,10,dense
252,58,23,dense
253,58,27,dense
254,24,6,sparse
255,27,3,sparse
256,13,2,sparse
257,21,12,dense
258,42,21,dense
259,46,24,dense
260,14,10,dense
261,71,29,dense
262,27,13,dense
263,33,28,dense
264,44,16,dense
265,45,18,dense
266,47,29,dense
267,39,19,dense
268,40,19,dense
269,49,27,dense
270,55,24,dense
271,64,18,dense
272,55,25,dense
273,62,26,dense
274,56,26,dense
275,58,29,dense
276,58,26,dense
277,48,15,dense
278,55,24,dense
279,45,26,dense
280,47,21,dense
281,53,36,dense
282,35,14,dense
283,69,32,dense
284,49,28,dense
285,57,33,dense
286,50,25,dense
287,50,25,dense
288,56,23,dense
289,37,23,dense
290,32,20,dense
291,57,31,dense
292,58,28,dense
293,48,20,dense
294,42,23,dense
295,26,10,dense
296,21,9,sparse
297,30,10,dense
298,38,18,dense
299,32,13,dense
300,19,5,sparse
301,35,10,dense
302,52,15,dense
303,51,27,dense
304,47,26,dense
305,31,13,dense
306,55,26,dense
307,24,16,dense
308,49,28,dense
309,73,29,dense
310,53,18,dense
311,35,15,dense
312,24,7,sparse
313,60,15,dense
314,74,3,sparse
315,61,21,dense
316,46,11,dense
317,64,19,dense
318,30,12,dense
319,59,25,dense
320,53,33,dense
321,43,17,dense
322,58,13,dense
323,32,12,dense
324,49,26,dense
325,47,16,dense
326,59,10,dense
327,47,19,dense
328,63,19,dense
329,47,19,dense
330,45,13,dense
331,53,22,dense
332,39,26,dense
333,51,25,dense
334,37,9,sparse
335,16,8,sparse
338,14,1,sparse
339,74,16,dense
340,18,9,sparse
341,21,6,sparse
342,25,10,dense
343,25,13,dense
344,42,7,sparse
345,34,7,sparse
346,61,21,dense
347,34,15,dense
348,20,12,dense
349,46,10,dense
350,40,5,sparse
351,22,11,dense
352,51,27,dense
353,15,7,sparse
354,35,13,dense
355,15,6,sparse
356,24,17,dense
357,41,22,dense
358,20,8,sparse
359,31,13,dense
360,23,11,dense
361,38,14,dense
362,56,16,dense
363,27,11,dense
364,51,15,dense
365,63,31,dense
366,52,24,dense
367,27,15,dense
368,68,28,dense
