id,n_words,n_keywords,keyword_ratio
314,74,3,0.0405
338,14,1,0.0714
2,24,2,0.0833
4,42,4,0.0952
255,27,3,0.1111
2052,33,4,0.1212
350,40,5,0.125
1987,47,6,0.1277
211,62,8,0.129
196,69,9,0.1304
2055,66,9,0.1364
1988,29,4,0.1379
237,42,6,0.1429
408,41,6,0.1463
2184,34,5,0.1471
2057,27,4,0.1481
2195,40,6,0.15
256,13,2,0.1538
193,24,4,0.1667
344,42,7,0.1667
1989,36,6,0.1667
326,59,10,0.1695
2200,46,8,0.1739
38,34,6,0.1765
2063,27,5,0.1852
2148,27,5,0.1852
2191,27,5,0.1852
2069,43,8,0.186
2050,21,4,0.1905
2103,42,8,0.1905
1971,73,14,0.1918
2096,78,15,0.1923
2164,41,8,0.1951
208,56,11,0.1964
2054,45,9,0.2
2064,35,7,0.2
2176,25,5,0.2
345,34,7,0.2059
2144,29,6,0.2069
2170,29,6,0.2069
200,38,8,0.2105
2145,19,4,0.2105
2163,47,10,0.2128
2161,28,6,0.2143
2183,56,12,0.2143
2051,51,11,0.2157
339,74,16,0.2162
349,46,10,0.2174
393,87,19,0.2184
371,64,14,0.2188
2154,64,14,0.2188
201,27,6,0.2222
225,36,8,0.2222
1970,54,12,0.2222
198,67,15,0.2239
322,58,13,0.2241
199,71,16,0.2254
2182,53,12,0.2264
2046,44,10,0.2273
2056,61,14,0.2295
2066,39,9,0.2308
2102,38,9,0.2368
316,46,11,0.2391
2177,87,21,0.2414
334,37,9,0.2432
36,45,11,0.2444
21,48,12,0.25
27,40,10,0.25
242,40,10,0.25
254,24,6,0.25
313,60,15,0.25
2048,20,5,0.25
2106,52,13,0.25
2171,48,12,0.25
2189,28,7,0.25
2198,24,6,0.25
2095,79,20,0.2532
1978,63,16,0.254
2139,35,9,0.2571
239,62,16,0.2581
1936,27,7,0.2593
1983,23,6,0.2609
300,19,5,0.2632
2135,19,5,0.2632
2038,41,11,0.2683
2147,26,7,0.2692
2149,26,7,0.2692
373,48,13,0.2708
1993,44,12,0.2727
2151,33,9,0.2727
2173,33,9,0.2727
209,25,7,0.28
1943,57,16,0.2807
271,64,18,0.2812
405,32,9,0.2812
2165,32,9,0.2812
2160,53,15,0.283
3,14,4,0.2857
301,35,10,0.2857
341,21,6,0.2857
362,56,16,0.2857
2053,35,10,0.2857
2109,49,14,0.2857
2110,42,12,0.2857
302,52,15,0.2885
2105,52,15,0.2885
197,45,13,0.2889
330,45,13,0.2889
2082,45,13,0.2889
244,38,11,0.2895
397,76,22,0.2895
2196,31,9,0.2903
312,24,7,0.2917
2047,24,7,0.2917
413,41,12,0.2927
2153,41,12,0.2927
2158,41,12,0.2927
364,51,15,0.2941
2150,44,13,0.2955
2101,27,8,0.2963
317,64,19,0.2969
2035,37,11,0.2973
2179,57,17,0.2982
30,50,15,0.3
231,10,3,0.3
247,70,21,0.3
1960,70,21,0.3
1972,80,24,0.3
2097,30,9,0.3
2133,20,6,0.3
2190,40,12,0.3
328,63,19,0.3016
414,43,13,0.3023
2068,43,13,0.3023
2065,33,10,0.303
2107,56,17,0.3036
232,59,18,0.3051
402,36,11,0.3056
210,52,16,0.3077
392,78,24,0.3077
1952,39,12,0.3077
2104,39,12,0.3077
2112,52,16,0.3077
2136,26,8,0.3077
2143,13,4,0.3077
370,58,18,0.3103
277,48,15,0.3125
1945,48,15,0.3125
2156,48,15,0.3125
207,38,12,0.3158
2175,38,12,0.3158
2168,44,14,0.3182
2108,47,15,0.3191
24,31,10,0.3226
40,34,11,0.3235
206,34,11,0.3235
407,43,14,0.3256
394,46,15,0.3261
1955,46,15,0.3261
213,61,20,0.3279
223,15,5,0.3333
297,30,10,0.3333
369,33,11,0.3333
412,42,14,0.3333
2001,45,15,0.3333
2049,15,5,0.3333
1969,59,20,0.339
310,53,18,0.3396
325,47,16,0.3404
32,41,14,0.3415
1994,76,26,0.3421
2141,35,12,0.3429
29,61,21,0.3443
315,61,21,0.3443
346,61,21,0.3443
384,61,21,0.3443
1995,78,27,0.3462
391,49,17,0.3469
233,46,16,0.3478
2062,23,8,0.3478
2098,40,14,0.35
2099,40,14,0.35
2100,20,7,0.35
390,77,27,0.3506
2070,34,12,0.3529
226,14,5,0.3571
204,81,29,0.358
26,25,9,0.36
2159,47,17,0.3617
264,44,16,0.3636
1963,33,12,0.3636
2067,33,12,0.3636
2162,33,12,0.3636
2091,79,29,0.3671
361,38,14,0.3684
2058,19,7,0.3684
2192,27,10,0.3704
354,35,13,0.3714
1981,35,13,0.3714
2005,70,26,0.3714
323,32,12,0.375
2114,24,9,0.375
2152,40,15,0.375
2083,53,20,0.3774
35,45,17,0.3778
2010,82,31,0.378
2125,37,14,0.3784
2084,42,16,0.381
34,34,13,0.3824
2146,73,28,0.3836
295,26,10,0.3846
401,39,15,0.3846
383,49,19,0.3878
388,67,26,0.3881
224,18,7,0.3889
1985,36,14,0.3889
1968,46,18,0.3913
2127,23,9,0.3913
2131,23,9,0.3913
25,51,20,0.3922
2006,51,20,0.3922
2157,51,20,0.3922
1931,28,11,0.3929
1947,33,13,0.3939
202,71,28,0.3944
2121,38,15,0.3947
321,43,17,0.3953
203,48,19,0.3958
252,58,23,0.3966
2042,68,27,0.3971
309,73,29,0.3973
265,45,18,0.4
282,35,14,0.4
318,30,12,0.4
342,25,10,0.4
355,15,6,0.4
358,20,8,0.4
1973,25,10,0.4
1974,55,22,0.4
2085,35,14,0.4
327,47,19,0.4043
329,47,19,0.4043
299,32,13,0.4062
363,27,11,0.4074
261,71,29,0.4085
1932,22,9,0.4091
228,78,32,0.4103
386,39,16,0.4103
288,56,23,0.4107
368,68,28,0.4118
238,41,17,0.4146
2044,41,17,0.4146
41,53,22,0.4151
331,53,22,0.4151
293,48,20,0.4167
2009,60,25,0.4167
273,62,26,0.4194
305,31,13,0.4194
359,31,13,0.4194
28,38,16,0.4211
2120,19,8,0.4211
319,59,25,0.4237
194,33,14,0.4242
1976,47,20,0.4255
296,21,9,0.4286
311,35,15,0.4286
375,56,24,0.4286
385,56,24,0.4286
2029,49,21,0.4286
2041,28,12,0.4286
2129,21,9,0.4286
2172,42,18,0.4286
23,79,34,0.4304
216,67,29,0.4328
241,30,13,0.4333
270,55,24,0.4364
278,55,24,0.4364
248,48,21,0.4375
387,48,21,0.4375
2089,16,7,0.4375
347,34,15,0.4412
2116,43,19,0.4419
2166,36,16,0.4444
2180,36,16,0.4444
280,47,21,0.4468
276,58,26,0.4483
396,42,19,0.4524
2185,53,24,0.4528
251,22,10,0.4545
272,55,25,0.4545
1977,44,20,0.4545
2023,68,31,0.4559
37,48,22,0.4583
245,48,22,0.4583
220,13,6,0.4615
