id,keyword_count_in_graph,vocab_size,raw_uncontr_words
2,2,28,9
3,3,15,7
4,4,45,4
20,15,37,15
21,14,59,15
22,13,28,22
23,35,86,36
24,11,34,14
25,23,63,34
26,9,29,9
27,11,46,13
28,16,44,19
29,22,70,34
30,15,57,16
31,29,52,32
32,14,44,14
33,17,34,26
34,13,39,17
35,17,47,19
36,12,52,14
37,23,52,26
38,5,39,8
39,23,38,34
40,11,41,11
41,22,62,24
193,6,30,9
194,15,36,17
195,12,22,13
196,10,80,12
197,13,47,15
198,15,72,15
199,17,80,18
200,9,49,10
201,6,30,7
202,28,90,30
203,21,65,22
204,31,98,33
205,20,41,23
206,11,47,11
207,12,42,14
208,11,65,16
209,7,29,7
210,16,61,16
211,8,70,13
212,11,21,15
213,20,66,21
214,24,49,25
215,38,93,39
216,30,73,47
217,9,20,11
218,7,19,8
219,7,12,8
220,6,13,6
223,7,21,7
224,6,18,7
225,8,48,8
226,5,16,5
227,12,24,18
228,34,88,37
229,7,16,7
230,8,18,8
231,3,15,5
232,19,71,28
233,16,47,21
234,16,30,19
235,18,39,19
236,19,33,19
237,6,47,6
238,19,47,19
239,16,71,16
240,20,42,20
241,13,34,13
242,10,41,11
243,33,42,37
244,11,43,11
245,22,56,25
246,24,50,26
247,21,77,24
248,21,55,26
249,16,24,28
250,12,24,14
251,10,23,28
252,23,66,29
253,29,74,34
254,6,32,6
255,3,29,5
256,4,17,5
257,13,24,14
258,21,44,31
259,24,56,28
260,10,17,11
261,29,87,29
262,14,30,19
263,27,37,30
264,17,50,17
265,19,49,20
266,30,53,34
267,19,43,20
268,19,43,20
269,27,59,29
270,24,65,25
271,19,68,20
272,25,58,27
273,26,70,27
274,28,61,47
275,29,63,39
276,26,63,41
277,16,59,31
278,24,60,42
279,28,53,30
280,21,48,22
281,38,61,40
282,14,37,14
283,32,77,33
284,26,52,30
285,35,66,38
286,28,58,30
287,25,51,26
288,24,62,27
289,23,37,28
290,20,32,25
291,31,65,48
292,28,63,29
293,21,55,22
294,23,45,24
295,10,31,18
296,9,22,12
297,10,33,10
298,18,43,18
299,13,37,13
300,5,23,5
301,10,42,11
302,15,59,16
303,27,61,28
304,25,49,28
305,15,35,15
306,28,64,29
307,17,28,20
308,29,53,38
309,30,85,32
310,18,59,22
311,15,42,15
312,7,30,9
313,15,71,15
314,3,85,12
315,21,72,21
316,11,53,11
