id,kw_pos_nostem,vocab_nostem,kw_pos_stem,vocab_stem
2,2,24,2,24
3,4,14,4,14
4,4,42,4,40
20,15,30,14,29
21,12,48,13,44
22,13,25,15,25
23,34,79,31,75
24,10,31,10,27
25,20,51,20,49
26,9,25,9,22
27,10,40,11,36
28,16,38,15,34
29,21,61,20,54
30,15,50,15,47
31,28,49,28,46
32,14,41,14,39
33,16,32,16,27
34,13,34,12,30
35,17,45,17,42
36,11,45,11,43
37,22,48,21,43
38,6,34,6,31
39,23,36,24,35
40,11,34,11,30
41,22,53,21,49
193,4,24,5,24
194,14,33,13,31
195,12,22,11,21
196,9,69,9,66
197,13,45,13,41
198,15,67,15,64
199,16,71,16,67
200,8,38,8,37
201,6,27,6,26
202,28,71,28,65
203,19,48,19,46
204,29,81,29,76
205,20,35,20,34
206,11,34,11,33
207,12,38,12,34
208,11,56,10,52
209,7,25,6,23
210,16,52,15,48
211,8,62,8,58
212,11,20,11,20
213,20,61,19,57
214,24,45,23,43
215,38,80,38,77
216,29,67,31,65
217,9,18,10,18
218,7,15,7,15
219,7,11,7,11
220,6,13,6,12
223,5,15,6,15
224,7,18,7,17
225,8,36,8,35
226,5,14,5,13
227,12,22,12,22
228,32,78,32,75
229,7,14,7,14
230,8,15,8,14
231,3,10,4,10
232,18,59,18,58
233,16,46,16,45
234,16,29,15,27
235,18,37,18,37
236,19,31,19,31
237,6,42,6,42
238,17,41,16,38
239,16,62,15,56
240,20,40,19,38
241,13,30,13,30
242,10,40,10,40
243,34,42,33,40
244,11,38,11,36
245,22,48,22,45
246,24,45,23,41
247,21,70,22,65
248,21,48,20,47
249,16,24,16,23
250,12,23,13,22
251,10,22,11,22
252,23,58,25,57
253,27,58,27,55
254,6,24,6,24
255,3,27,3,26
256,2,13,3,13
257,12,21,12,21
258,21,42,22,41
259,24,46,21,43
260,10,14,10,14
261,29,71,27,66
262,13,27,13,25
263,28,33,27,31
264,16,44,15,41
265,18,45,17,42
266,29,47,27,42
267,19,39,19,39
268,19,40,18,35
269,27,49,23,42
270,24,55,24,49
271,18,64,18,61
272,25,55,24,49
273,26,62,24,58
274,26,56,27,56
275,29,58,29,55
276,26,58,25,54
277,15,48,19,43
278,24,55,24,53
279,26,45,26,45
280,21,47,20,45
281,36,53,37,53
282,14,35,14,34
283,32,69,31,67
284,28,49,25,46
285,33,57,32,52
286,25,50,26,49
287,25,50,25,45
288,23,56,23,53
289,23,37,23,37
290,20,32,19,31
291,31,57,33,56
292,28,58,27,56
293,20,48,20,44
294,23,42,23,40
295,10,26,9,23
296,9,21,9,21
297,10,30,10,29
298,18,38,18,37
299,13,32,12,29
300,5,19,5,18
301,10,35,10,34
302,15,52,15,47
303,27,51,26,49
304,26,47,26,46
305,13,31,13,29
306,26,55,24,49
307,16,24,15,22
308,28,49,28,45
309,29,73,28,68
310,18,53,18,53
311,15,35,14,33
312,7,24,7,23
313,15,60,15,58
314,3,74,5,74
315,21,61,20,60
316,11,46,11,44
317,19,64,19,61
318,12,30,12,29
319,25,59,26,57
320,33,53,32,50
321,17,43,17,40
322,13,58,13,56
323,12,32,10,29
324,26,49,27,45
325,16,47,16,47
326,10,59,9,53
327,19,47,20,42
328,19,63,19,57
329,19,47,19,45
330,13,45,11,40
331,22,53,21,50
332,26,39,26,38
333,25,51,24,50
334,9,37,10,35
335,8,16,8,16
338,1,14,1,14
339,16,74,18,73
340,9,18,9,18
341,6,21,9,21
342,10,25,11,25
343,13,25,13,24
344,7,42,9,40
345,7,34,7,34
346,21,61,20,59
347,15,34,15,34
348,12,20,12,20
349,10,46,11,37
350,5,40,5,37
351,11,22,10,20
352,27,51,25,47
353,7,15,7,15
354,13,35,14,33
355,6,15,6,14
356,17,24,17,23
357,22,41,22,40
358,8,20,8,19
359,13,31,13,28
360,11,23,11,21
361,14,38,14,38
362,16,56,15,51
363,11,27,9,23
364,15,51,15,47
365,31,63,30,58
366,24,52,25,50
367,15,27,15,26
368,28,68,30,65
369,11,33,11,33
370,18,58,17,54
371,14,64,13,60
373,13,48,12,44
374,21,30,21,30
375,24,56,23,51
376,27,40,25,36
377,14,23,14,22
378,20,43,20,42
379,35,55,34,53
380,35,45,34,44
381,24,45,24,43
382,30,58,29,53
383,19,49,18,45
384,21,61,21,59
385,24,56,23,49
386,16,39,15,37
387,21,48,21,45
388,26,67,27,61
389,22,31,22,29
390,27,77,27,71
391,17,49,17,47
392,24,78,24,75
393,19,87,19,86
394,15,46,16,42
395,27,53,27,51
396,19,42,19,39
397,22,76,21,69
398,33,58,33,58
399,21,44,20,40
400,30,48,30,48
401,15,39,15,39
402,11,36,12,34
403,24,44,24,41
404,30,63,29,61
405,9,32,9,31
406,13,28,13,27
407,14,43,14,41
408,6,41,6,38
410,20,30,19,28
411,12,25,12,25
412,14,42,14,41
413,12,41,11,38
414,13,43,12,39
1930,18,33,16,31
1931,11,28,11,26
1932,9,22,9,22
1933,10,15,10,15
1934,15,30,15,27
1935,14,25,12,20
1936,7,27,8,27
1937,15,29,14,28
1938,8,13,8,12
1939,13,25,12,23
1940,8,10,8,10
1941,10,20,10,19
1942,39,76,37,72
1943,16,57,16,51
1944,22,44,24,42
1945,15,48,15,46
1946,28,42,28,40
1947,13,33,14,31
1948,16,24,16,22
1949,51,74,47,67
1950,20,36,20,34
1951,22,40,21,38
1952,12,39,13,36
1953,16,28,15,27
1954,24,50,24,48
1955,15,46,15,43
1956,15,24,15,21
1957,17,36,18,35
1958,13,23,14,21
1959,7,10,5,8
1960,21,70,21,67
1961,22,46,22,44
1962,11,19,11,19
1963,12,33,12,30
1964,20,34,20,34
1965,19,40,18,36
1966,29,51,29,49
1967,21,39,21,38
1968,18,46,18,44
1969,20,59,20,58
1970,12,54,13,52
1971,14,73,13,65
1972,24,80,24,72
1973,10,25,10,25
1974,22,55,22,53
1975,20,38,20,38
1976,20,47,19,44
1977,20,44,19,41
1978,16,63,16,56
1979,41,67,38,58
1980,39,81,39,78
1981,13,35,13,31
1982,11,15,11,15
1983,6,23,6,22
1984,12,24,11,21
1985,14,36,14,35
1986,21,43,20,41
1987,6,47,6,47
1988,4,29,4,28
1989,6,36,6,30
1990,25,49,24,48
1991,24,43,23,40
1992,34,69,31,63
1993,12,44,12,40
1994,26,76,23,70
1995,27,78,24,73
1996,25,50,23,48
1997,11,15,11,15
1998,13,20,11,18
1999,30,42,29,40
2000,22,40,20,38
2001,15,45,15,43
2002,24,51,25,50
2003,24,45,23,42
2004,20,37,18,34
2005,26,70,25,64
2006,20,51,19,48
2007,40,48,39,47
2008,19,36,18,33
2009,25,60,22,52
2010,31,82,30,73
2011,25,42,23,38
2012,25,40,24,38
2013,19,25,19,25
2014,34,48,32,44
2015,27,38,27,37
2016,25,38,25,37
2017,37,67,35,64
2018,32,60,32,59
2019,46,68,44,62
2020,50,70,49,64
2021,24,34,24,33
2022,13,16,12,15
2023,31,68,30,64
2024,26,37,24,34
2025,34,43,33,40
2026,24,41,21,37
2027,24,31,23,30
2028,27,48,25,43
2029,21,49,21,47
2030,19,31,18,30
2031,22,42,21,40
2032,19,26,18,24
2033,13,27,13,26
2035,11,37,11,36
2036,9,16,8,15
2037,12,19,11,18
2038,11,41,11,38
2039,10,15,10,15
2040,14,18,12,16
2041,12,28,12,27
2042,27,68,26,64
2043,27,54,26,50
2044,17,41,18,40
2045,14,24,14,24
2046,10,44,10,43
2047,7,24,7,24
2048,5,20,5,19
2049,5,15,5,14
2050,4,21,4,21
2051,11,51,11,49
2052,4,33,5,32
2053,10,35,10,33
2054,9,45,8,42
2055,9,66,9,62
2056,14,61,13,57
2057,4,27,4,26
2058,7,19,7,19
2059,14,27,14,27
2060,9,19,9,19
2061,10,18,10,16
2062,8,23,8,23
2063,5,27,5,26
2064,7,35,6,32
2065,10,33,9,31
2066,9,39,9,37
2067,12,33,11,32
2068,13,43,14,42
2069,8,43,9,40
2070,12,34,12,31
2081,20,35,20,34
2082,13,45,12,42
2083,20,53,21,53
2084,16,42,16,38
2085,14,35,14,35
2086,27,51,27,49
2087,15,26,15,25
2088,31,54,29,50
2089,7,16,7,16
2090,20,27,21,27
2091,29,79,31,73
2092,42,91,40,84
2093,9,17,8,15
2094,14,26,14,26
2095,20,79,20,76
2096,15,78,18,72
2097,9,30,9,28
2098,14,40,14,39
2099,14,40,13,39
2100,7,20,7,20
2101,8,27,8,25
2102,9,38,9,37
2103,8,42,9,37
2104,12,39,10,36
2105,15,52,15,51
2106,13,52,14,49
2107,17,56,18,53
2108,15,47,15,44
2109,14,49,14,48
2110,12,42,11,38
2111,24,47,23,43
2112,16,52,16,50
2113,10,18,10,18
2114,9,24,9,22
2115,14,23,13,21
2116,19,43,19,40
2117,14,24,13,20
2118,7,15,7,13
2119,15,26,15,25
2120,8,19,8,18
2121,15,38,14,34
2122,17,28,17,25
2123,10,14,10,14
2124,11,22,11,22
2125,14,37,14,34
2126,11,14,11,14
2127,9,23,9,22
2128,17,24,17,24
2129,9,21,9,19
2130,12,21,12,19
2131,9,23,11,22
2132,15,24,16,23
2133,6,20,7,18
2134,20,36,18,31
2135,5,19,5,19
2136,8,26,8,25
2137,11,20,12,20
2138,11,13,11,13
2139,9,35,8,31
2140,8,17,7,16
2141,12,35,11,34
2142,18,22,17,21
2143,4,13,4,13
2144,6,29,6,28
2145,4,19,4,19
2146,28,73,28,70
2147,7,26,7,25
2148,5,27,5,27
2149,7,26,7,25
2150,13,44,14,43
2151,9,33,9,31
2152,15,40,15,40
2153,12,41,11,38
2154,14,64,14,62
2156,15,48,14,45
2157,20,51,21,47
2158,12,41,13,38
2159,17,47,17,46
2160,15,53,15,51
2161,6,28,6,26
2162,12,33,12,32
2163,10,47,10,44
2164,8,41,8,41
2165,9,32,9,32
2166,16,36,16,36
2167,15,32,14,30
2168,14,44,14,43
2169,8,16,8,16
2170,6,29,6,28
2171,12,48,11,46
2172,18,42,18,42
2173,9,33,9,32
2174,7,15,6,13
2175,12,38,12,37
2176,5,25,5,25
2177,21,87,21,84
2178,35,65,35,65
2179,17,57,17,55
2180,16,36,16,36
2181,39,69,39,69
2182,12,53,12,49
2183,12,56,11,53
2184,5,34,4,32
2185,24,53,24,50
2186,20,26,20,26
2187,18,30,18,29
2188,39,61,37,58
2189,7,28,7,25
2190,12,40,12,40
2191,5,27,6,26
2192,10,27,10,26
2193,13,24,13,23
2194,13,23,13,23
2195,6,40,6,38
2196,9,31,9,30
2197,9,15,9,15
2198,6,24,6,24
2199,13,22,12,21
2200,8,46,9,45
