scenario,method,n_seed,rhat_median_mean,rhat_median_std,rhat_q95_mean,rhat_q95_std,rhat_max_mean,rhat_max_std,ess_mean,ess_std,th_S_mean,th_S_std,th_W_mean,th_W_std,th_N_mean,th_N_std,pi_S_mean,pi_S_std,pi_W_mean,pi_W_std,pi_N_mean,pi_N_std,lowest_U_mean,lowest_U_std,spearman_mean,spearman_std,kendall_mean,kendall_std,topk_mean,topk_std,ndcg50_mean,ndcg50_std,mse_all_mean,mse_all_std,T_stop_mean,T_stop_std
Easy,acMH,10,1.20282,0.07267,1.37231,0.11806,1.49808,0.15137,24.66,3.96192,3.63598,0.84603,2.90607,0.667,-2.19914,1.39196,0.94777,0.0264,0.90899,0.04391,0.17419,0.13413,104.488,15.84484,0.7412,0.01987,0.52119,0.02467,0.985,0.01658,0.91693,0.01421,3.47088,1.97267,9900.0,2256.10283
Easy,SGLD,10,5.12115,0.26763,7.92144,0.64863,9.96073,0.82348,6.86,1.01644,0.60408,0.20331,0.48136,0.16487,0.19584,0.10526,0.63735,0.04302,0.60926,0.03608,0.54587,0.02442,112.789,5.07186,0.26961,0.14563,0.18154,0.09774,0.5575,0.08664,0.72418,0.06035,5.49767,0.37106,9900.0,2256.10283
Easy,qSGLD,10,1.33468,0.09072,1.76472,0.18168,2.15736,0.30557,9.544,1.30661,3.47881,0.62799,2.62597,0.60857,-2.14029,0.9297,0.94183,0.02462,0.88857,0.05084,0.15644,0.09608,130.068,15.98823,0.73761,0.01759,0.51652,0.02069,0.98,0.02449,0.91632,0.01361,2.59804,0.6227,9900.0,2256.10283
Easy,cycSGLD,10,2.37115,0.23665,3.11703,0.45521,3.365,0.53168,10.53,1.73483,1.70713,0.18906,1.32329,0.19641,-0.63471,0.27256,0.83165,0.02423,0.77554,0.0349,0.35042,0.0613,56.5,2.45967,0.74008,0.02047,0.52015,0.02262,0.9825,0.02512,0.91241,0.01359,2.52587,0.57339,9900.0,2256.10283
Easy,SGHMC,10,2.45787,0.16022,3.94974,0.28784,4.89052,0.51502,7.661,1.03274,1.38162,0.28443,1.02712,0.27831,0.02097,0.2398,0.77664,0.04069,0.71499,0.04776,0.50417,0.0563,104.246,6.08293,0.60395,0.10888,0.41749,0.08302,0.795,0.09798,0.85719,0.04741,4.51647,0.72682,9900.0,2256.10283
Easy,AWSGLD,10,1.04243,0.00329,1.10367,0.0133,1.15247,0.03033,82.26,10.64741,1.78343,0.28942,1.3425,0.26083,-1.14528,0.31303,0.838,0.0345,0.77655,0.04627,0.25039,0.05681,56.5,2.45967,0.74096,0.01913,0.52144,0.02468,0.9975,0.0075,0.91805,0.01622,1.59873,0.47732,9900.0,2256.10283
Moderate,acMH,10,1.22086,0.03305,1.44914,0.06799,1.55579,0.10357,24.236,6.40189,1.98049,0.424,1.53882,0.38822,-0.44983,0.62183,0.85463,0.04279,0.7965,0.04669,0.40431,0.1284,81.455,11.76549,0.74079,0.02789,0.52133,0.03097,0.92288,0.03957,0.91668,0.01134,2.07364,0.60759,8100.0,2773.08492
Moderate,SGLD,10,4.44252,0.48449,7.1951,0.9982,9.11387,1.31696,6.253,1.04894,0.41975,0.20804,0.28739,0.16394,0.13434,0.09778,0.59737,0.04663,0.56617,0.03833,0.53154,0.02312,103.159,7.49306,0.19962,0.1499,0.13728,0.10178,0.46177,0.1077,0.6794,0.06532,3.21557,0.26531,8100.0,2773.08492
Moderate,qSGLD,10,1.33178,0.1016,1.78014,0.26133,2.11138,0.36223,8.961,1.31669,2.60124,0.70348,1.82665,0.62575,-1.30958,0.72794,0.89199,0.04036,0.80668,0.06193,0.2524,0.10023,116.794,19.15458,0.7495,0.02613,0.5303,0.02886,0.90973,0.03259,0.91819,0.01137,2.00205,1.02564,8100.0,2773.08492
Moderate,cycSGLD,10,2.50063,0.49359,3.53581,0.99809,4.28484,1.54118,11.351,1.95298,1.25779,0.21988,0.90576,0.23142,-0.42923,0.28496,0.76643,0.03586,0.7012,0.04426,0.39753,0.06552,56.7,3.66197,0.7508,0.03472,0.53341,0.03777,0.91461,0.04508,0.91677,0.01333,1.64605,0.36149,8100.0,2773.08492
Moderate,SGHMC,10,2.28047,0.22455,3.67395,0.53041,4.62462,0.725,7.028,1.15429,0.95706,0.32756,0.6343,0.25813,0.0163,0.19499,0.70258,0.05817,0.63972,0.05563,0.5031,0.04565,99.298,8.8816,0.49644,0.15391,0.34085,0.11214,0.67402,0.12759,0.81246,0.06476,2.72757,0.43239,8100.0,2773.08492
Moderate,AWSGLD,10,1.04045,0.00749,1.10805,0.02649,1.16021,0.0529,70.271,15.9572,1.27806,0.33547,0.85476,0.33532,-0.9182,0.30131,0.76589,0.05358,0.68722,0.06351,0.29275,0.0604,56.7,3.66197,0.75965,0.02956,0.54276,0.03588,0.93922,0.03236,0.9221,0.01289,1.0362,0.22275,8100.0,2773.08492
Difficult,acMH,10,1.1039,0.08365,1.29366,0.18704,1.40628,0.23912,37.934,9.73561,1.2058,0.22073,0.95595,0.21278,0.66168,0.44691,0.75864,0.03743,0.71276,0.04097,0.65151,0.10191,63.166,5.82641,0.31069,0.30982,0.2181,0.21709,0.51695,0.16298,0.73946,0.13031,2.38199,0.61069,12300.0,2900.0
Difficult,SGLD,10,3.12781,0.20974,5.15585,0.40477,6.42615,0.56798,7.988,1.42409,0.3624,0.19825,0.20185,0.14419,0.1292,0.09802,0.58514,0.04552,0.54649,0.03392,0.53053,0.02289,93.857,6.25877,0.13994,0.13484,0.09403,0.08968,0.40753,0.0692,0.65264,0.07078,1.57692,0.14232,12300.0,2900.0
Difficult,qSGLD,10,1.23579,0.07049,1.54018,0.17398,1.7539,0.29262,11.389,2.12357,1.70484,0.3962,1.12592,0.40269,0.09466,1.02096,0.81599,0.05181,0.72653,0.06831,0.52989,0.2076,97.617,7.58821,0.46856,0.24378,0.32581,0.17062,0.62755,0.16697,0.81482,0.0913,2.34439,0.9655,12300.0,2900.0
Difficult,cycSGLD,10,1.98445,0.14153,2.77522,0.26693,3.22103,0.32122,19.302,4.77412,0.61638,0.25915,0.29206,0.27203,-0.25839,0.27154,0.64029,0.05885,0.56915,0.06377,0.43755,0.06495,55.7,2.83019,0.52157,0.25766,0.36675,0.18232,0.64486,0.1623,0.83424,0.08935,0.95135,0.26923,12300.0,2900.0
Difficult,SGHMC,10,1.84099,0.1071,2.861,0.296,3.67433,0.52015,8.875,1.46296,0.73234,0.31941,0.42057,0.245,0.1325,0.24551,0.66122,0.06615,0.59503,0.05415,0.53076,0.05719,90.279,2.08969,0.33119,0.20002,0.2278,0.14045,0.53093,0.14,0.74777,0.08298,1.49456,0.32243,12300.0,2900.0
Difficult,AWSGLD,10,1.04921,0.00624,1.11175,0.01911,1.1576,0.02062,84.576,7.62144,0.53121,0.26385,0.17507,0.305,-0.50425,0.37157,0.62094,0.06132,0.54206,0.06996,0.38273,0.08277,55.7,2.83019,0.53811,0.25295,0.37818,0.17804,0.6572,0.15874,0.83593,0.08717,0.8602,0.27666,12300.0,2900.0
Sparse,acMH,10,1.16292,0.11523,1.36629,0.22748,1.49991,0.32898,32.938,7.3862,1.28727,0.34841,1.41824,0.2541,0.48467,0.27008,0.7636,0.04649,0.78662,0.03348,0.61516,0.06349,71.698,13.93803,0.50779,0.076,0.35224,0.05673,0.73298,0.09016,0.82318,0.02882,2.16416,0.51302,11100.0,2879.23601
Sparse,SGLD,10,3.639,0.29145,6.09347,0.60897,7.3467,0.86643,7.501,1.29541,0.76083,0.27753,0.63904,0.10544,0.48861,0.07202,0.6716,0.05886,0.64611,0.0214,0.61244,0.015,100.09,9.44899,0.16438,0.11379,0.1116,0.07705,0.40518,0.10049,0.66028,0.05204,2.32727,0.27845,11100.0,2879.23601
Sparse,qSGLD,10,1.26189,0.04459,1.6135,0.13183,1.84956,0.1448,10.889,1.48583,2.05467,0.62076,2.2398,0.43797,-0.16156,0.69977,0.8328,0.06696,0.86315,0.04142,0.46628,0.15415,105.618,11.95843,0.57883,0.05966,0.4,0.0418,0.83176,0.06499,0.85387,0.01692,2.01377,0.93108,11100.0,2879.23601
Sparse,cycSGLD,10,2.43521,0.43071,3.27836,0.68995,3.86671,0.85019,15.325,3.20362,0.92561,0.2524,1.04388,0.24782,0.01655,0.16289,0.7028,0.04849,0.72701,0.04283,0.50376,0.04002,58.0,4.17133,0.5867,0.05994,0.40857,0.04356,0.77806,0.08233,0.8639,0.02068,1.27068,0.24335,11100.0,2879.23601
Sparse,SGHMC,10,2.09834,0.13473,3.22824,0.23146,3.99363,0.45355,8.329,1.37341,1.14099,0.37021,1.05774,0.21755,0.45911,0.14926,0.73556,0.05992,0.72479,0.03921,0.60598,0.03092,96.497,6.50138,0.38795,0.10471,0.26648,0.07803,0.56529,0.0606,0.78513,0.04666,2.17466,0.41811,11100.0,2879.23601
Sparse,AWSGLD,10,1.04101,0.00641,1.104,0.01927,1.16368,0.04696,84.586,13.43547,0.81247,0.32752,0.88928,0.39239,-0.47653,0.34329,0.6768,0.06422,0.69235,0.07026,0.38766,0.07983,58.0,4.17133,0.6077,0.06109,0.41927,0.04231,0.83222,0.086,0.87267,0.01952,0.87091,0.31385,11100.0,2879.23601
