seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,mse_theta,mse_pi,spearman,kendall,topk,ndcg50,T_stop
2,Easy,acMH,1.2283,1.4609,1.5377,30.62,3.7612,0.100419,0.7551,0.537,0.95,0.9176,10000
2,Easy,SGLD,4.927,7.486,9.7482,6.96,5.972,0.187571,0.0863,0.0501,0.45,0.6705,10000
2,Easy,qSGLD,1.1518,1.4139,1.663,11.97,2.7805,0.065359,0.7302,0.5002,0.925,0.9013,10000
2,Easy,cycSGLD,2.2682,2.9757,3.2107,11.14,3.5544,0.091734,0.7379,0.5079,0.95,0.8947,10000
2,Easy,SGHMC,2.1272,3.3953,4.2179,7.97,5.3838,0.16659,0.5119,0.3442,0.7,0.8051,10000
2,Easy,AWSGLD,1.0438,1.0955,1.166,78.66,2.5485,0.054766,0.7163,0.4881,1.0,0.8903,10000
2,Moderate,acMH,1.1906,1.431,1.5169,15.57,3.0774,0.122389,0.7333,0.5236,0.9189,0.9114,5000
2,Moderate,SGLD,5.0446,7.9845,10.3311,5.12,3.4564,0.133952,0.0449,0.0335,0.3514,0.6344,5000
2,Moderate,qSGLD,1.3726,1.933,2.6234,8.22,2.211,0.0767,0.7317,0.5059,0.8919,0.898,5000
2,Moderate,cycSGLD,2.8769,4.3271,5.3447,9.62,2.2283,0.079133,0.7469,0.541,0.8919,0.9225,5000
2,Moderate,SGHMC,2.4159,3.7686,5.6232,5.86,3.385,0.131639,0.2515,0.1632,0.4324,0.7044,5000
2,Moderate,AWSGLD,1.0457,1.1391,1.2058,51.54,1.5378,0.047622,0.7434,0.5358,0.9459,0.9305,5000
2,Difficult,acMH,1.0553,1.2683,1.4299,31.31,2.5171,0.123665,0.4968,0.3386,0.5,0.8,11000
2,Difficult,SGLD,3.2381,5.4017,6.5431,7.46,1.4799,0.066196,0.1266,0.0853,0.3667,0.6745,11000
2,Difficult,qSGLD,1.2316,1.5639,1.6656,11.31,1.9861,0.091982,0.6053,0.4246,0.7,0.8768,11000
2,Difficult,cycSGLD,1.9247,2.6938,3.3688,18.65,0.9134,0.038025,0.6342,0.444,0.7,0.8904,11000
2,Difficult,SGHMC,1.7696,2.8921,3.7218,8.43,1.2054,0.053112,0.4334,0.2836,0.5667,0.7936,11000
2,Difficult,AWSGLD,1.0498,1.1056,1.1677,89.67,0.8279,0.033174,0.6167,0.4347,0.7,0.88,11000
2,Sparse,acMH,1.1105,1.4714,1.6557,34.39,2.6963,0.128576,0.5336,0.381,0.7037,0.7961,12000
2,Sparse,SGLD,3.5466,6.4987,7.5888,7.89,2.1266,0.099065,0.2751,0.1867,0.4074,0.7158,12000
2,Sparse,qSGLD,1.1841,1.379,1.6241,12.14,3.192,0.127899,0.5035,0.3713,0.8148,0.8473,12000
2,Sparse,cycSGLD,1.7977,2.3018,2.6136,17.17,1.6944,0.076421,0.5016,0.3576,0.7778,0.8264,12000
2,Sparse,SGHMC,2.0219,3.1966,4.0165,9.06,2.0128,0.094873,0.5531,0.3919,0.6296,0.835,12000
2,Sparse,AWSGLD,1.0462,1.1321,1.1888,86.97,1.5568,0.067176,0.4898,0.3479,0.8519,0.8237,12000
