seed,scenario,method,rhat_median,rhat_q95,rhat_max,ess,th_S,th_W,th_N,pi_S,pi_W,pi_N,lowest_U,spearman,kendall,topk,ndcg50,mse_all,T_stop
4,Easy,acMH,1.1849,1.4296,1.584,20.99,2.8308,1.6899,-0.8479,0.9226,0.8191,0.3103,93.41,0.7191,0.5075,0.975,0.9259,2.4168,8000
4,Easy,SGLD,5.4305,8.2327,10.7833,6.1,0.3949,0.457,0.2367,0.5939,0.6047,0.5558,115.99,0.1215,0.082,0.5,0.6504,5.6595,8000
4,Easy,qSGLD,1.3232,1.7351,2.6292,9.64,2.848,1.4506,-1.1661,0.9208,0.7772,0.2584,119.72,0.7231,0.5164,0.95,0.9227,1.969,8000
4,Easy,cycSGLD,2.7365,3.9659,4.2545,10.82,1.5997,0.8017,-0.2169,0.8152,0.6833,0.4463,60.0,0.7071,0.4945,0.925,0.9132,3.473,8000
4,Easy,SGHMC,2.5987,3.8369,4.5631,6.9,1.2116,0.6716,0.1763,0.7557,0.6484,0.5412,107.95,0.473,0.3277,0.65,0.8135,4.941,8000
4,Easy,AWSGLD,1.0485,1.1211,1.173,76.92,1.5376,0.6536,-0.7512,0.8046,0.6521,0.3234,60.0,0.7343,0.5317,0.975,0.9251,2.2476,8000
4,Moderate,acMH,1.2258,1.448,1.6116,16.5,2.4158,1.2905,-0.5431,0.8952,0.7464,0.3719,88.71,0.6901,0.4752,0.8529,0.9072,1.8532,5000
4,Moderate,SGLD,5.2321,7.5366,10.1754,5.39,0.3168,0.3496,0.0723,0.5763,0.5832,0.5168,96.94,0.1786,0.1059,0.4412,0.6119,3.0064,5000
4,Moderate,qSGLD,1.2534,1.5974,1.8772,8.26,2.2039,1.1915,-0.8573,0.866,0.7261,0.3063,101.73,0.714,0.503,0.8529,0.9097,1.4225,5000
4,Moderate,cycSGLD,3.2264,5.1924,6.3582,9.15,1.4185,0.714,-0.2484,0.7908,0.6595,0.4386,59.0,0.6876,0.4796,0.8235,0.8926,1.8601,5000
4,Moderate,SGHMC,2.4292,3.6175,4.979,6.31,0.951,0.6,-0.0953,0.7083,0.6333,0.4767,90.86,0.5628,0.3774,0.7647,0.8415,2.3356,5000
4,Moderate,AWSGLD,1.0238,1.065,1.089,51.7,1.4291,0.6381,-0.7914,0.7892,0.6426,0.3149,59.0,0.7194,0.5075,0.8824,0.9137,1.0703,5000
4,Difficult,acMH,1.0224,1.0773,1.108,42.96,0.8612,0.8581,0.9954,0.6979,0.6925,0.7275,56.69,-0.2017,-0.1459,0.3125,0.5242,2.9909,13000
4,Difficult,SGLD,3.1634,4.996,5.8247,8.45,0.089,0.2643,0.1878,0.5215,0.5609,0.5447,93.48,-0.1094,-0.0683,0.3438,0.5319,1.7573,13000
4,Difficult,qSGLD,1.1458,1.3691,1.4489,12.51,1.3218,0.863,0.7199,0.7717,0.6804,0.666,96.84,0.2075,0.1446,0.4375,0.7533,2.5173,13000
4,Difficult,cycSGLD,2.2812,3.3722,3.7733,20.41,0.349,0.2541,-0.0098,0.5826,0.56,0.4972,54.0,0.2815,0.1887,0.5,0.76,1.1779,13000
4,Difficult,SGHMC,1.8291,2.5284,3.0298,9.31,0.4589,0.317,0.2556,0.6058,0.5695,0.5608,92.13,0.0778,0.0525,0.3125,0.6577,1.6422,13000
4,Difficult,AWSGLD,1.0474,1.0888,1.1357,79.69,0.214,0.0991,-0.298,0.5502,0.5229,0.4271,54.0,0.3984,0.2747,0.5,0.7773,0.9528,13000
4,Sparse,acMH,1.0518,1.1073,1.1384,30.55,1.0268,1.2827,0.6475,0.7278,0.7762,0.6542,70.03,0.4467,0.2913,0.6552,0.7804,2.3681,10000
4,Sparse,SGLD,3.648,5.705,6.6849,7.11,0.4055,0.5808,0.4431,0.5971,0.6365,0.6018,103.56,0.1269,0.0804,0.4138,0.6174,2.1943,10000
4,Sparse,qSGLD,1.2614,1.5723,1.6905,11.36,1.7498,1.8322,0.5756,0.8216,0.8424,0.6309,113.55,0.496,0.3325,0.7241,0.8328,2.5601,10000
4,Sparse,cycSGLD,2.1221,2.8851,3.9601,14.48,0.8351,0.7779,0.2398,0.6877,0.6805,0.5586,63.0,0.5027,0.3459,0.6207,0.8471,1.5024,10000
4,Sparse,SGHMC,1.8852,2.974,3.9529,7.9,0.913,0.831,0.3654,0.6999,0.6842,0.585,100.83,0.3389,0.2283,0.5862,0.7459,1.882,10000
4,Sparse,AWSGLD,1.0344,1.091,1.128,87.37,0.7062,0.5119,-0.1087,0.6594,0.6204,0.473,63.0,0.5411,0.3737,0.6207,0.8694,1.0294,10000
