method,chain,min_U,lowest_U_clamped,ess,modes,cutoff
acMH,0,101.09,101.09,29.21,1,66.0
acMH,1,93.4,93.4,26.18,1,66.0
acMH,2,97.73,97.73,25.77,1,66.0
acMH,3,101.99,101.99,28.31,1,66.0
SGLD,0,113.55,113.55,5.79,1,66.0
SGLD,1,108.98,108.98,5.78,1,66.0
SGLD,2,127.41,127.41,6.08,1,66.0
SGLD,3,120.93,120.93,6.01,1,66.0
qSGLD,0,97.26,97.26,11.59,1,66.0
qSGLD,1,96.92,96.92,9.7,1,66.0
qSGLD,2,90.67,90.67,10.49,1,66.0
qSGLD,3,99.01,99.01,10.56,1,66.0
cycSGLD,0,62.65,66.0,9.62,1,66.0
cycSGLD,1,62.63,66.0,15.69,1,66.0
cycSGLD,2,60.89,66.0,7.55,1,66.0
cycSGLD,3,60.85,66.0,15.2,1,66.0
SGHMC,0,104.11,104.11,6.61,1,66.0
SGHMC,1,100.5,100.5,6.33,1,66.0
SGHMC,2,108.81,108.81,6.38,1,66.0
SGHMC,3,101.56,101.56,6.59,1,66.0
AWSGLD,0,63.75,66.0,58.39,1,66.0
AWSGLD,1,63.93,66.0,60.04,1,66.0
AWSGLD,2,63.86,66.0,57.73,1,66.0
AWSGLD,3,63.58,66.0,54.98,1,66.0
