n,method,n_seed,rhat_median_mean,rhat_median_std,rhat_q95_mean,rhat_q95_std,rhat_max_mean,rhat_max_std,ess_mean,ess_std,th_S_mean,th_S_std,th_W_mean,th_W_std,th_N_mean,th_N_std,pi_S_mean,pi_S_std,pi_W_mean,pi_W_std,pi_N_mean,pi_N_std,lowest_U_mean,lowest_U_std,spearman_mean,spearman_std,kendall_mean,kendall_std,topk_mean,topk_std,ndcg50_mean,ndcg50_std,mse_all_mean,mse_all_std,T_stop_mean,T_stop_std
200,SGLD,5,4.65998,0.15263,7.10422,0.11704,9.16552,0.65373,6.022,0.0725,0.7164,0.10019,0.6677,0.12417,0.52496,0.03552,0.66444,0.02107,0.65304,0.02669,0.62186,0.00752,232.058,9.285,0.1916,0.03301,0.1277,0.02155,0.495,0.02318,0.60492,0.04806,3.41634,0.05882,8000.0,0.0
200,qSGLD,5,1.23452,0.01804,1.5062,0.03323,1.80724,0.14705,9.668,0.35346,3.0453,0.22938,2.19884,0.40679,-0.30384,0.22246,0.94756,0.0085,0.88576,0.03769,0.42808,0.05154,236.8,20.75224,0.76648,0.01539,0.55382,0.0235,0.99,0.00935,0.93654,0.02106,1.57386,0.49567,8000.0,0.0
200,cycSGLD,5,2.94668,0.30133,3.59994,0.40511,3.94122,0.47888,9.834,1.11011,1.8616,0.1063,1.3727,0.22463,0.11548,0.10613,0.86194,0.0123,0.79284,0.03649,0.5283,0.02622,131.0,2.75681,0.76752,0.01825,0.5546,0.02542,0.9975,0.005,0.93356,0.02162,1.80336,0.19742,8000.0,0.0
200,SGHMC,5,2.29316,0.13159,3.36222,0.14402,4.28724,0.53873,6.838,0.1209,1.34994,0.12905,1.07556,0.2317,0.51692,0.08013,0.78372,0.01953,0.73472,0.04226,0.62094,0.01805,228.212,8.44449,0.5579,0.04623,0.38108,0.03087,0.7275,0.05831,0.83112,0.04087,2.98198,0.19221,8000.0,0.0
200,AWSGLD,5,1.13658,0.06368,1.32112,0.13839,1.46662,0.21231,59.728,1.06751,2.14098,0.13015,1.46236,0.34078,-0.29232,0.15765,0.89078,0.01229,0.80368,0.05423,0.42844,0.03796,131.0,2.75681,0.76616,0.02495,0.5558,0.03138,1.0,0.0,0.94578,0.01394,1.09986,0.23106,8000.0,0.0
1500,SGLD,5,4.1288,0.03457,6.22972,0.08055,9.73456,1.941,7.794,0.02653,0.76478,0.02393,0.68356,0.024,0.50042,0.02665,0.67366,0.00535,0.657,0.00522,0.6162,0.00604,1817.742,32.09312,0.20552,0.03778,0.13756,0.02552,0.51034,0.01747,0.59014,0.06129,3.31776,0.0771,12000.0,0.0
1500,qSGLD,5,1.21576,0.00674,1.48558,0.02855,2.0557,0.17085,10.948,0.17221,2.83306,0.06949,2.531,0.11207,-0.17784,0.10944,0.9377,0.00403,0.91868,0.00801,0.45706,0.02588,1973.476,21.19918,0.74996,0.01361,0.52254,0.01717,0.99734,0.00078,0.82576,0.03075,1.84932,0.17673,12000.0,0.0
1500,cycSGLD,5,1.95742,0.07926,2.32496,0.11333,2.60864,0.09114,17.172,0.58053,1.85824,0.06226,1.63656,0.08294,0.01942,0.05842,0.86164,0.00736,0.83366,0.0111,0.50452,0.01445,1242.0,9.89949,0.7534,0.00739,0.52924,0.011,1.0,0.0,0.84946,0.02408,1.6643,0.09108,12000.0,0.0
1500,SGHMC,5,2.00308,0.03091,2.86362,0.05682,4.00574,0.20311,8.774,0.07965,1.3978,0.03813,1.20424,0.03257,0.47308,0.04134,0.79262,0.00702,0.76054,0.00605,0.61142,0.00925,1827.98,29.14144,0.61692,0.03868,0.42128,0.02943,0.78466,0.02739,0.81518,0.01313,2.8237,0.11298,12000.0,0.0
1500,AWSGLD,5,1.20806,0.03206,1.51386,0.0748,2.03974,0.21751,40.588,1.89697,2.03576,0.07294,1.7889,0.11144,-0.17806,0.07631,0.88066,0.00754,0.8528,0.0133,0.45594,0.01871,1242.0,9.89949,0.75744,0.00759,0.53416,0.01101,1.0,0.0,0.84956,0.03376,1.34632,0.10879,12000.0,0.0
