gamma,sampler,precision,recall,F,realFDR,pos,tp
0.05,AWSGLD,0.9441,0.5561,0.6941,0.0559,4.5267,4.236
0.05,acMH,0.9528,0.5329,0.6785,0.0472,4.3204,4.0759
0.1,AWSGLD,0.8032,0.662,0.7186,0.1968,6.3079,5.0257
0.1,acMH,0.826,0.6384,0.7133,0.174,5.9608,4.8701
0.15,AWSGLD,0.6682,0.7589,0.7024,0.3318,8.7415,5.7741
0.15,acMH,0.6953,0.7351,0.7055,0.3047,8.2146,5.6106
0.2,AWSGLD,0.5376,0.8537,0.6498,0.4624,12.4222,6.4722
0.2,acMH,0.569,0.8257,0.6619,0.431,11.4865,6.2958
0.25,AWSGLD,0.418,0.9362,0.5636,0.582,18.2971,7.087
0.25,acMH,0.4611,0.9038,0.5932,0.5389,16.3175,6.8749
0.3,AWSGLD,0.343,0.9866,0.4889,0.657,25.386,7.4606
0.3,acMH,0.3943,0.9549,0.5369,0.6057,21.2905,7.2413
