metric,gamma,sampler,value
roc_auc,-,acMH,0.6504
roc_auc,-,AWSGLD,0.6852
roc_auc,-,qSGLD,0.6105
roc_auc,-,SGLD,0.626
roc_auc,-,cycSGLD,0.671
roc_auc,-,SGHMC,0.5928
precision,0.05,acMH,0.9671
recall,0.05,acMH,0.1556
F,0.05,acMH,0.2681
realFDR,0.05,acMH,0.0329
precision,0.05,AWSGLD,0.9455
recall,0.05,AWSGLD,0.175
F,0.05,AWSGLD,0.2953
realFDR,0.05,AWSGLD,0.0545
precision,0.05,qSGLD,0.8937
recall,0.05,qSGLD,0.1806
F,0.05,qSGLD,0.3005
realFDR,0.05,qSGLD,0.1063
precision,0.05,SGLD,0.8616
recall,0.05,SGLD,0.2534
F,0.05,SGLD,0.3916
realFDR,0.05,SGLD,0.1384
precision,0.05,cycSGLD,0.9604
recall,0.05,cycSGLD,0.1553
F,0.05,cycSGLD,0.2673
realFDR,0.05,cycSGLD,0.0396
precision,0.05,SGHMC,0.8449
recall,0.05,SGHMC,0.2348
F,0.05,SGHMC,0.3674
realFDR,0.05,SGHMC,0.1551
precision,0.1,acMH,0.9099
recall,0.1,acMH,0.2072
F,0.1,acMH,0.3376
realFDR,0.1,acMH,0.0901
precision,0.1,AWSGLD,0.92
recall,0.1,AWSGLD,0.2599
F,0.1,AWSGLD,0.4053
realFDR,0.1,AWSGLD,0.08
precision,0.1,qSGLD,0.8054
recall,0.1,qSGLD,0.2599
F,0.1,qSGLD,0.393
realFDR,0.1,qSGLD,0.1946
precision,0.1,SGLD,0.7934
recall,0.1,SGLD,0.3268
F,0.1,SGLD,0.4629
realFDR,0.1,SGLD,0.2066
precision,0.1,cycSGLD,0.932
recall,0.1,cycSGLD,0.2131
F,0.1,cycSGLD,0.3469
realFDR,0.1,cycSGLD,0.068
precision,0.1,SGHMC,0.7763
recall,0.1,SGHMC,0.3186
F,0.1,SGHMC,0.4518
realFDR,0.1,SGHMC,0.2237
precision,0.15,acMH,0.8489
recall,0.15,acMH,0.2782
F,0.15,acMH,0.4191
realFDR,0.15,acMH,0.1511
precision,0.15,AWSGLD,0.8777
recall,0.15,AWSGLD,0.3716
F,0.15,AWSGLD,0.5222
realFDR,0.15,AWSGLD,0.1223
precision,0.15,qSGLD,0.7357
recall,0.15,qSGLD,0.3577
F,0.15,qSGLD,0.4813
realFDR,0.15,qSGLD,0.2643
precision,0.15,SGLD,0.7539
recall,0.15,SGLD,0.3981
F,0.15,SGLD,0.521
realFDR,0.15,SGLD,0.2461
precision,0.15,cycSGLD,0.8833
recall,0.15,cycSGLD,0.2873
F,0.15,cycSGLD,0.4336
realFDR,0.15,cycSGLD,0.1167
precision,0.15,SGHMC,0.728
recall,0.15,SGHMC,0.4006
F,0.15,SGHMC,0.5168
realFDR,0.15,SGHMC,0.272
precision,0.2,acMH,0.7962
recall,0.2,acMH,0.3838
F,0.2,acMH,0.5179
realFDR,0.2,acMH,0.2038
precision,0.2,AWSGLD,0.7906
recall,0.2,AWSGLD,0.5022
F,0.2,AWSGLD,0.6143
realFDR,0.2,AWSGLD,0.2094
precision,0.2,qSGLD,0.6856
recall,0.2,qSGLD,0.4878
F,0.2,qSGLD,0.57
realFDR,0.2,qSGLD,0.3144
precision,0.2,SGLD,0.7214
recall,0.2,SGLD,0.4676
F,0.2,SGLD,0.5674
realFDR,0.2,SGLD,0.2786
precision,0.2,cycSGLD,0.8311
recall,0.2,cycSGLD,0.3894
F,0.2,cycSGLD,0.5303
realFDR,0.2,cycSGLD,0.1689
precision,0.2,SGHMC,0.691
recall,0.2,SGHMC,0.4801
F,0.2,SGHMC,0.5666
realFDR,0.2,SGHMC,0.309
precision,0.25,acMH,0.7148
recall,0.25,acMH,0.5338
F,0.25,acMH,0.6112
realFDR,0.25,acMH,0.2852
precision,0.25,AWSGLD,0.6888
recall,0.25,AWSGLD,0.6849
F,0.25,AWSGLD,0.6869
realFDR,0.25,AWSGLD,0.3112
precision,0.25,qSGLD,0.6432
recall,0.25,qSGLD,0.6431
F,0.25,qSGLD,0.6432
realFDR,0.25,qSGLD,0.3568
precision,0.25,SGLD,0.6959
recall,0.25,SGLD,0.5388
F,0.25,SGLD,0.6074
realFDR,0.25,SGLD,0.3041
precision,0.25,cycSGLD,0.7661
recall,0.25,cycSGLD,0.5237
F,0.25,cycSGLD,0.6221
realFDR,0.25,cycSGLD,0.2339
precision,0.25,SGHMC,0.6627
recall,0.25,SGHMC,0.5623
F,0.25,SGHMC,0.6084
realFDR,0.25,SGHMC,0.3373
precision,0.3,acMH,0.6408
recall,0.3,acMH,0.7112
F,0.3,acMH,0.6742
realFDR,0.3,acMH,0.3592
precision,0.3,AWSGLD,0.5939
recall,0.3,AWSGLD,0.9487
F,0.3,AWSGLD,0.7305
realFDR,0.3,AWSGLD,0.4061
precision,0.3,qSGLD,0.6071
recall,0.3,qSGLD,0.8026
F,0.3,qSGLD,0.6913
realFDR,0.3,qSGLD,0.3929
precision,0.3,SGLD,0.6756
recall,0.3,SGLD,0.6133
F,0.3,SGLD,0.6429
realFDR,0.3,SGLD,0.3244
precision,0.3,cycSGLD,0.6865
recall,0.3,cycSGLD,0.6813
F,0.3,cycSGLD,0.6839
realFDR,0.3,cycSGLD,0.3135
precision,0.3,SGHMC,0.6436
recall,0.3,SGHMC,0.6513
F,0.3,SGHMC,0.6474
realFDR,0.3,SGHMC,0.3564
