config,gamma,precision,recall,F,realFDR
acMH,0.05,0.9506,0.1554,0.2657,0.0494
acMH,0.1,0.9005,0.2094,0.336,0.0995
acMH,0.15,0.861,0.2883,0.4246,0.139
acMH,0.2,0.8011,0.39,0.5122,0.1989
acMH,0.25,0.7247,0.5328,0.5915,0.2753
acMH,0.3,0.6744,0.7261,0.6685,0.3256
base,0.05,0.9409,0.1784,0.2989,0.0591
base,0.1,0.9257,0.2699,0.4153,0.0743
base,0.15,0.8674,0.3745,0.5193,0.1326
base,0.2,0.7899,0.5085,0.6145,0.2101
base,0.25,0.7004,0.7049,0.6982,0.2996
base,0.3,0.6088,0.9486,0.7347,0.3912
TAU1.5,0.05,0.9377,0.1745,0.2934,0.0623
TAU1.5,0.1,0.9272,0.2611,0.4053,0.0728
TAU1.5,0.15,0.8699,0.3661,0.5115,0.1301
TAU1.5,0.2,0.7932,0.4986,0.6082,0.2068
TAU1.5,0.25,0.7056,0.6941,0.6954,0.2944
TAU1.5,0.3,0.6083,0.939,0.7316,0.3917
TAU2.0,0.05,0.9305,0.1696,0.286,0.0695
TAU2.0,0.1,0.9305,0.2515,0.3938,0.0695
TAU2.0,0.15,0.887,0.3591,0.5075,0.113
TAU2.0,0.2,0.794,0.4833,0.5965,0.206
TAU2.0,0.25,0.7178,0.6821,0.6947,0.2822
TAU2.0,0.3,0.611,0.9219,0.728,0.389
ZETA1,0.05,0.9363,0.1682,0.2844,0.0637
ZETA1,0.1,0.9255,0.2535,0.3955,0.0745
ZETA1,0.15,0.87,0.3585,0.5042,0.13
ZETA1,0.2,0.7919,0.4934,0.6032,0.2081
ZETA1,0.25,0.7137,0.7009,0.7017,0.2863
ZETA1,0.3,0.607,0.9292,0.7261,0.393
ZETA10,0.05,0.9384,0.1784,0.2988,0.0616
ZETA10,0.1,0.9258,0.2712,0.4169,0.0742
ZETA10,0.15,0.8669,0.3769,0.5214,0.1331
ZETA10,0.2,0.7885,0.5103,0.6155,0.2115
ZETA10,0.25,0.7005,0.7078,0.6998,0.2995
ZETA10,0.3,0.6083,0.9497,0.7348,0.3917
DECAY200,0.05,0.9409,0.1784,0.2989,0.0591
DECAY200,0.1,0.9257,0.2699,0.4153,0.0743
DECAY200,0.15,0.8641,0.375,0.5191,0.1359
DECAY200,0.2,0.7891,0.5082,0.6141,0.2109
DECAY200,0.25,0.6999,0.7052,0.6982,0.3001
DECAY200,0.3,0.6084,0.9492,0.7346,0.3916
eps1.0,0.05,0.9372,0.1766,0.2962,0.0628
eps1.0,0.1,0.9296,0.2688,0.4144,0.0704
eps1.0,0.15,0.8712,0.3724,0.5179,0.1288
eps1.0,0.2,0.7942,0.508,0.6153,0.2058
eps1.0,0.25,0.7045,0.7018,0.6984,0.2955
eps1.0,0.3,0.6113,0.9508,0.7372,0.3887
eps2.0,0.05,0.9372,0.1753,0.2944,0.0628
eps2.0,0.1,0.9283,0.2653,0.4099,0.0717
eps2.0,0.15,0.8683,0.3687,0.5137,0.1317
eps2.0,0.2,0.7939,0.5038,0.6122,0.2061
eps2.0,0.25,0.7057,0.6977,0.6972,0.2943
eps2.0,0.3,0.6125,0.9532,0.7391,0.3875
