config,gamma,precision,recall,F,realFDR
acMH,0.05,0.9561,0.1622,0.2755,0.0439
acMH,0.1,0.9036,0.2239,0.3531,0.0964
acMH,0.15,0.839,0.2996,0.4314,0.161
acMH,0.2,0.7729,0.3994,0.5119,0.2271
acMH,0.25,0.7054,0.553,0.5956,0.2946
acMH,0.3,0.6491,0.734,0.6603,0.3509
AW-full,0.05,0.9397,0.181,0.3022,0.0603
AW-full,0.1,0.9214,0.2652,0.4087,0.0786
AW-full,0.15,0.8678,0.3687,0.5128,0.1322
AW-full,0.2,0.774,0.4938,0.5985,0.226
AW-full,0.25,0.6812,0.6735,0.6731,0.3188
AW-full,0.3,0.6074,0.9515,0.7347,0.3926
AW-half,0.05,0.94,0.1815,0.3031,0.06
AW-half,0.1,0.9314,0.2709,0.4165,0.0686
AW-half,0.15,0.864,0.372,0.5153,0.136
AW-half,0.2,0.776,0.5013,0.6046,0.224
AW-half,0.25,0.6895,0.6891,0.6851,0.3105
AW-half,0.3,0.6098,0.9523,0.7368,0.3902
AW-quarter,0.05,0.9437,0.1814,0.3031,0.0563
AW-quarter,0.1,0.9315,0.2708,0.4165,0.0685
AW-quarter,0.15,0.866,0.3726,0.5161,0.134
AW-quarter,0.2,0.7761,0.5006,0.6041,0.2239
AW-quarter,0.25,0.69,0.6897,0.6858,0.31
AW-quarter,0.3,0.6096,0.9517,0.7364,0.3904
AW-eighth,0.05,0.9467,0.181,0.3024,0.0533
AW-eighth,0.1,0.9311,0.2696,0.415,0.0689
AW-eighth,0.15,0.8654,0.37,0.5135,0.1346
AW-eighth,0.2,0.7794,0.4984,0.6031,0.2206
AW-eighth,0.25,0.6894,0.6861,0.6835,0.3106
AW-eighth,0.3,0.6109,0.9534,0.7378,0.3891
