gamma,sampler,precision,recall,F,realFDR
0.05,acMH,0.9113,0.5801,0.7084,0.0887
0.05,AWSGLD,0.9247,0.5638,0.7002,0.0753
0.1,acMH,0.797,0.6585,0.7199,0.203
0.1,AWSGLD,0.8165,0.6385,0.716,0.1835
0.15,acMH,0.6937,0.7461,0.7168,0.3063
0.15,AWSGLD,0.7228,0.7294,0.7252,0.2772
0.2,acMH,0.6036,0.8496,0.7017,0.3964
0.2,AWSGLD,0.6267,0.8235,0.7103,0.3733
0.25,acMH,0.5456,0.9424,0.6866,0.4544
0.25,AWSGLD,0.5505,0.9381,0.6921,0.4495
0.3,acMH,0.5239,0.9786,0.6804,0.4761
0.3,AWSGLD,0.5101,0.9915,0.6729,0.4899
topk/auc,acMH,0.7185,0.7808,,
topk/auc,AWSGLD,0.707,0.7619,,
