scope,sampler,Recall_m,Recall_s,F_m,F_s,topk_m,topk_s,AUC_m,AUC_s
240,acMH,0.89,0.0583,0.7649,0.0408,0.81,0.0624,0.8848,0.0504
240,AWSGLD_Z1,0.9,0.0592,0.7955,0.0517,0.815,0.0502,0.891,0.0337
240,MALA_v2,0.925,0.0602,0.7499,0.0435,0.77,0.064,0.8388,0.0708
275,acMH,0.8828,0.099,0.7346,0.0244,0.731,0.0402,0.7998,0.0361
275,AWSGLD_Z1,0.8414,0.0875,0.7256,0.0544,0.7,0.031,0.7652,0.0443
275,MALA_v2,0.8793,0.0889,0.7185,0.027,0.6966,0.0457,0.7678,0.0527
333,acMH,0.816,0.0543,0.6476,0.0266,0.696,0.0512,0.7355,0.0251
333,AWSGLD_Z1,0.78,0.0447,0.66,0.0213,0.672,0.05,0.7054,0.0323
333,MALA_v2,0.816,0.0571,0.6484,0.0289,0.688,0.0349,0.7334,0.024
404,acMH,0.8,0.0775,0.6589,0.0446,0.66,0.068,0.7359,0.0823
404,AWSGLD_Z1,0.7733,0.0533,0.6653,0.0573,0.6433,0.0731,0.7157,0.0618
404,MALA_v2,0.8267,0.0629,0.6537,0.045,0.64,0.0533,0.7122,0.0678
2000,acMH,0.8591,0.0873,0.7024,0.0413,0.6955,0.0577,0.748,0.0447
2000,AWSGLD_Z1,0.8227,0.0746,0.7051,0.0523,0.7045,0.0508,0.7323,0.0557
2000,MALA_v2,0.8909,0.0545,0.7152,0.0285,0.7045,0.0618,0.7505,0.0455
ALL,acMH,0.8496,0.0851,0.7017,0.0574,0.7185,0.0763,0.7808,0.0769
ALL,AWSGLD_Z1,0.8235,0.0802,0.7103,0.0695,0.707,0.0786,0.7619,0.0824
ALL,MALA_v2,0.8676,0.0775,0.6971,0.0532,0.6998,0.0675,0.7605,0.0698
