doc,sampler,Recall_mean,Recall_std,F_mean,F_std,topk_mean,topk_std,AUC_mean,AUC_std
240,acMH,0.89,0.0583,0.7649,0.0408,0.81,0.0624,0.8848,0.0504
240,AWSGLD,0.87,0.0714,0.7879,0.0539,0.795,0.0568,0.8915,0.0411
275,acMH,0.8828,0.099,0.7346,0.0244,0.731,0.0402,0.7998,0.0361
275,AWSGLD,0.8103,0.0775,0.7224,0.0457,0.7034,0.0316,0.7751,0.041
333,acMH,0.816,0.0543,0.6476,0.0266,0.696,0.0512,0.7355,0.0251
333,AWSGLD,0.768,0.05,0.66,0.0294,0.664,0.0512,0.7005,0.0348
404,acMH,0.8,0.0775,0.6589,0.0446,0.66,0.068,0.7359,0.0823
404,AWSGLD,0.7567,0.0597,0.6661,0.0604,0.6433,0.0496,0.7157,0.0607
2000,acMH,0.8591,0.0873,0.7024,0.0413,0.6955,0.0577,0.748,0.0447
2000,AWSGLD,0.7773,0.0657,0.6893,0.0475,0.7,0.0464,0.7202,0.0522
ALL,acMH,0.8496,0.0851,0.7017,0.0574,0.7185,0.0763,0.7808,0.0769
ALL,AWSGLD,0.7965,0.0773,0.7051,0.0674,0.7012,0.0707,0.7606,0.0844
