gamma,sampler,precision,recall,F,realFDR
0.05,acMH,0.9655,0.2451,0.3901,0.0345
0.05,AWSGLD_Z5,0.9565,0.2681,0.4183,0.0435
0.05,AWSGLD_Z1,0.9646,0.2547,0.4025,0.0354
0.1,acMH,0.8592,0.303,0.4458,0.1408
0.1,AWSGLD_Z5,0.8705,0.3565,0.505,0.1295
0.1,AWSGLD_Z1,0.8806,0.3455,0.4953,0.1194
0.15,acMH,0.7622,0.3819,0.5041,0.2378
0.15,AWSGLD_Z5,0.7563,0.4516,0.5642,0.2437
0.15,AWSGLD_Z1,0.7675,0.4378,0.5561,0.2325
0.2,acMH,0.6719,0.492,0.5589,0.3281
0.2,AWSGLD_Z5,0.6604,0.5922,0.6227,0.3396
0.2,AWSGLD_Z1,0.6671,0.5771,0.6168,0.3329
0.25,acMH,0.5967,0.6571,0.6071,0.4033
0.25,AWSGLD_Z5,0.5596,0.7892,0.6525,0.4404
0.25,AWSGLD_Z1,0.5658,0.7726,0.6508,0.4342
0.3,acMH,0.5433,0.8049,0.6321,0.4567
0.3,AWSGLD_Z5,0.5062,0.9919,0.6696,0.4938
0.3,AWSGLD_Z1,0.5092,0.9884,0.6711,0.4908
topk/auc,acMH,0.599,0.6386,,
topk/auc,AWSGLD_Z5,0.6333,0.6736,,
topk/auc,AWSGLD_Z1,0.636,0.6762,,
