ndoc,method,rhat_median_mean,rhat_median_std,rhat_q95_mean,rhat_q95_std,rhat_max_mean,rhat_max_std,ess_mean,ess_std,th_kw_mean,th_kw_std,th_nonkw_mean,th_nonkw_std,pi_kw_mean,pi_kw_std,pi_nonkw_mean,pi_nonkw_std,lowest_U_mean,lowest_U_std,P_at_k_mean,P_at_k_std,R_at_k_mean,R_at_k_std,ndcg_at_k_mean,ndcg_at_k_std,auc_mean,auc_std,T_stop_mean,T_stop_std,n_mean,n_std,n_truth_mean,n_truth_std
3,acMH,1.08095,0.01788,1.22152,0.03946,1.39242,0.08997,17.908,2.10917,1.42444,0.11906,0.8087,0.11631,0.76609,0.01546,0.68131,0.02296,96.834,14.0103,0.64481,0.03532,0.64481,0.03532,0.69541,0.03552,0.72458,0.03641,8000.0,0.0,172.1,27.06086,75.3,13.35702
3,SGLD,3.02248,0.1405,5.40961,0.28415,7.22986,0.57686,6.042,0.09978,0.40526,0.07351,0.26532,0.05773,0.5933,0.01605,0.56248,0.01342,129.022,20.36225,0.49807,0.04122,0.49807,0.04122,0.53166,0.04892,0.57223,0.04746,8000.0,0.0,172.1,27.06086,75.3,13.35702
3,qSGLD,1.28503,0.06677,1.63004,0.13065,1.87767,0.21996,9.074,0.60049,1.58107,0.35538,0.7702,0.20009,0.77053,0.04331,0.66323,0.04045,149.192,34.37269,0.6135,0.06162,0.6135,0.06162,0.67243,0.04982,0.70754,0.06454,8000.0,0.0,172.1,27.06086,75.3,13.35702
3,cycSGLD,1.72322,0.20021,3.3363,0.5006,5.5562,0.90587,12.849,1.08684,0.64059,0.09396,0.26623,0.07296,0.64358,0.02009,0.56454,0.0175,62.3,9.77804,0.63671,0.05971,0.63671,0.05971,0.70181,0.0452,0.73907,0.04882,8000.0,0.0,172.1,27.06086,75.3,13.35702
3,SGHMC,1.84707,0.08553,3.09369,0.18092,4.52206,0.50293,6.904,0.18858,0.56946,0.11894,0.27093,0.10993,0.62436,0.0243,0.56284,0.02458,125.627,20.8635,0.54387,0.05087,0.54387,0.05087,0.60602,0.05949,0.62997,0.06642,8000.0,0.0,172.1,27.06086,75.3,13.35702
3,AWSGLD,1.07713,0.02627,1.22081,0.07968,1.36424,0.13081,59.595,1.84367,0.98726,0.16966,0.47634,0.11014,0.70348,0.02491,0.6121,0.02479,62.3,9.77804,0.6578,0.04971,0.6578,0.04971,0.71228,0.03688,0.74817,0.03595,8000.0,0.0,172.1,27.06086,75.3,13.35702
10,acMH,1.21451,0.03092,1.53305,0.0684,1.94069,0.16211,9.499,0.72351,1.42548,0.10253,0.76732,0.08112,0.7539,0.01176,0.66608,0.01324,395.055,78.59477,0.61943,0.02523,0.61943,0.02523,0.65811,0.02814,0.70067,0.02746,8000.0,0.0,476.6,59.07995,214.9,28.77308
10,SGLD,2.93603,0.06174,5.32436,0.09846,8.71574,0.73893,5.984,0.04386,0.37487,0.03164,0.21513,0.03142,0.58664,0.00683,0.55033,0.00709,389.583,46.66353,0.51623,0.04417,0.51623,0.04417,0.53807,0.05084,0.58483,0.02409,8000.0,0.0,476.6,59.07995,214.9,28.77308
10,qSGLD,1.25797,0.03608,1.60387,0.09588,2.00958,0.21935,9.289,0.45291,1.51597,0.12165,0.71519,0.05474,0.76157,0.01274,0.65111,0.01013,469.04,83.30197,0.63863,0.02556,0.63863,0.02556,0.67637,0.02635,0.71863,0.02488,8000.0,0.0,476.6,59.07995,214.9,28.77308
10,cycSGLD,1.49074,0.07752,3.04167,0.38,6.54604,1.97898,14.62,0.46435,0.5804,0.05526,0.20631,0.03528,0.62962,0.01087,0.54976,0.0083,200.4,26.86336,0.66333,0.02655,0.66333,0.02655,0.70631,0.02829,0.75382,0.02769,8000.0,0.0,476.6,59.07995,214.9,28.77308
10,SGHMC,1.78317,0.0371,2.96476,0.11137,5.66183,0.91802,6.923,0.06543,0.49073,0.05484,0.19535,0.04029,0.60904,0.01166,0.54501,0.00899,386.228,48.54223,0.56555,0.03493,0.56555,0.03493,0.59996,0.03927,0.63995,0.02923,8000.0,0.0,476.6,59.07995,214.9,28.77308
10,AWSGLD,1.16767,0.06557,1.46415,0.17192,1.86631,0.31408,49.717,1.9478,0.98768,0.12173,0.47109,0.07987,0.69852,0.0191,0.60892,0.01718,200.4,26.86336,0.66738,0.02596,0.66738,0.02596,0.70198,0.02986,0.75184,0.0281,8000.0,0.0,476.6,59.07995,214.9,28.77308
