scope,gamma,sampler,precision,recall,F,realFDR
ALL,0.05,acMH,0.9503,0.2506,0.3892,0.0497
ALL,0.05,AWSGLD,0.5297,0.3363,0.4084,0.4703
ALL,0.1,acMH,0.8464,0.2831,0.4087,0.1536
ALL,0.1,AWSGLD,0.3559,0.4097,0.3798,0.6441
ALL,0.15,acMH,0.6939,0.3152,0.4137,0.3061
ALL,0.15,AWSGLD,0.2761,0.512,0.3564,0.7239
ALL,0.2,acMH,0.6048,0.3649,0.4259,0.3952
ALL,0.2,AWSGLD,0.2162,0.6079,0.317,0.7838
ALL,0.25,acMH,0.4812,0.4046,0.403,0.5188
ALL,0.25,AWSGLD,0.1692,0.7207,0.2727,0.8308
ALL,0.3,acMH,0.3888,0.4762,0.3855,0.6112
ALL,0.3,AWSGLD,0.1206,0.815,0.2093,0.8794
ALL,topk/auc,acMH,0.4191,0.802,,
ALL,topk/auc,AWSGLD,0.3307,0.794,,
C-42,0.05,acMH,0.8831,0.3458,0.4965,0.1169
C-42,0.05,AWSGLD,0.6588,0.4833,0.5575,0.3412
C-42,0.1,acMH,0.7675,0.3792,0.5047,0.2325
C-42,0.1,AWSGLD,0.5001,0.575,0.5349,0.4999
C-42,0.15,acMH,0.6827,0.4333,0.5234,0.3173
C-42,0.15,AWSGLD,0.368,0.6208,0.4621,0.632
C-42,0.2,acMH,0.5619,0.4667,0.4986,0.4381
C-42,0.2,AWSGLD,0.2717,0.6542,0.3839,0.7283
C-42,0.25,acMH,0.4676,0.5208,0.4781,0.5324
C-42,0.25,AWSGLD,0.2295,0.8167,0.3583,0.7705
C-42,0.3,acMH,0.3507,0.575,0.4196,0.6493
C-42,0.3,AWSGLD,0.1682,0.925,0.2847,0.8318
C-72,0.05,acMH,1.0,0.2067,0.3421,0.0
C-72,0.05,AWSGLD,0.7089,0.34,0.4593,0.2911
C-72,0.1,acMH,0.875,0.2267,0.3588,0.125
C-72,0.1,AWSGLD,0.3552,0.4267,0.3874,0.6448
C-72,0.15,acMH,0.7917,0.2333,0.3553,0.2083
C-72,0.15,AWSGLD,0.3175,0.6667,0.4302,0.6825
C-72,0.2,acMH,0.7571,0.3,0.4157,0.2429
C-72,0.2,AWSGLD,0.2517,0.8,0.3829,0.7483
C-72,0.25,acMH,0.5935,0.34,0.4045,0.4065
C-72,0.25,AWSGLD,0.1686,0.8,0.2785,0.8314
C-72,0.3,acMH,0.4988,0.38,0.4017,0.5012
C-72,0.3,AWSGLD,0.1099,0.8,0.1933,0.8901
I-50,0.05,acMH,1.0,0.1667,0.2857,0.0
I-50,0.05,AWSGLD,0.2189,0.1667,0.1889,0.7811
I-50,0.1,acMH,1.0,0.1667,0.2857,0.0
I-50,0.1,AWSGLD,0.1288,0.1917,0.1539,0.8712
I-50,0.15,acMH,0.6667,0.1667,0.2667,0.3333
I-50,0.15,AWSGLD,0.1441,0.3583,0.2055,0.8559
I-50,0.2,acMH,0.6417,0.2083,0.3142,0.3583
I-50,0.2,AWSGLD,0.1407,0.525,0.2218,0.8593
I-50,0.25,acMH,0.56,0.2333,0.3294,0.44
I-50,0.25,AWSGLD,0.1217,0.6833,0.2065,0.8783
I-50,0.3,acMH,0.4881,0.2833,0.3581,0.5119
I-50,0.3,AWSGLD,0.0986,0.875,0.1773,0.9014
H-40,0.05,acMH,0.9057,0.2647,0.408,0.0943
H-40,0.05,AWSGLD,0.5727,0.3529,0.4365,0.4273
H-40,0.1,acMH,0.7987,0.3353,0.4661,0.2013
H-40,0.1,AWSGLD,0.4706,0.4706,0.4706,0.5294
H-40,0.15,acMH,0.7067,0.4118,0.511,0.2933
H-40,0.15,AWSGLD,0.3572,0.5294,0.4266,0.6428
H-40,0.2,acMH,0.5647,0.4647,0.4968,0.4353
H-40,0.2,AWSGLD,0.2744,0.6294,0.3821,0.7256
H-40,0.25,acMH,0.4183,0.5059,0.4424,0.5817
H-40,0.25,AWSGLD,0.195,0.6882,0.3039,0.805
H-40,0.3,acMH,0.3279,0.6118,0.4114,0.6721
H-40,0.3,AWSGLD,0.1227,0.7059,0.2091,0.8773
I-52,0.05,acMH,0.9625,0.2692,0.4138,0.0375
I-52,0.05,AWSGLD,0.4889,0.3385,0.4,0.5111
I-52,0.1,acMH,0.7908,0.3077,0.4284,0.2092
I-52,0.1,AWSGLD,0.325,0.3846,0.3522,0.675
I-52,0.15,acMH,0.6218,0.3308,0.4122,0.3782
I-52,0.15,AWSGLD,0.1939,0.3846,0.2578,0.8061
I-52,0.2,acMH,0.4987,0.3846,0.4044,0.5013
I-52,0.2,AWSGLD,0.1424,0.4308,0.2141,0.8576
I-52,0.25,acMH,0.3663,0.4231,0.3603,0.6337
I-52,0.25,AWSGLD,0.131,0.6154,0.216,0.869
I-52,0.3,acMH,0.2785,0.5308,0.3369,0.7215
I-52,0.3,AWSGLD,0.1032,0.7692,0.182,0.8968
