gamma,sampler,precision,precision_sd,recall,recall_sd,F,F_sd,realFDR,realFDR_sd,n_selected
0.05,acMH,0.9761,0.0178,0.2096,0.005,0.3451,0.0077,0.0239,0.0178,33.5
0.05,AWSGLD,0.9909,0.0273,0.2096,0.0058,0.346,0.0095,0.0091,0.0273,33.0
0.05,SGLD,0.9689,0.0346,0.216,0.0081,0.3532,0.0123,0.0311,0.0346,34.8
0.05,qSGLD,0.9909,0.0194,0.2096,0.0041,0.346,0.0068,0.0091,0.0194,33.0
0.05,cycSGLD,1.0,0.0,0.2115,0.0,0.3492,0.0,0.0,0.0,33.0
0.05,SGHMC,0.9881,0.0146,0.2103,0.0038,0.3467,0.0057,0.0119,0.0146,33.2
0.1,acMH,0.9475,0.0258,0.2301,0.006,0.3703,0.0093,0.0525,0.0258,37.9
0.1,AWSGLD,0.9841,0.0339,0.2301,0.0053,0.373,0.0092,0.0159,0.0339,36.5
0.1,SGLD,0.936,0.0313,0.2391,0.0091,0.3807,0.0113,0.064,0.0313,39.9
0.1,qSGLD,0.9621,0.0386,0.2256,0.0075,0.3655,0.0125,0.0379,0.0386,36.6
0.1,cycSGLD,0.9565,0.0132,0.225,0.0035,0.3643,0.0052,0.0435,0.0132,36.7
0.1,SGHMC,0.9524,0.0498,0.225,0.0078,0.3639,0.0133,0.0476,0.0498,36.9
0.15,acMH,0.9199,0.0136,0.2564,0.0057,0.401,0.0064,0.0801,0.0136,43.5
0.15,AWSGLD,0.9713,0.0469,0.2526,0.0087,0.4009,0.0148,0.0287,0.0469,40.6
0.15,SGLD,0.9162,0.0249,0.2635,0.0123,0.409,0.0145,0.0838,0.0249,44.9
0.15,qSGLD,0.9352,0.0355,0.2474,0.0071,0.3913,0.0113,0.0648,0.0355,41.3
0.15,cycSGLD,0.9122,0.0119,0.2397,0.0031,0.3797,0.005,0.0878,0.0119,41.0
0.15,SGHMC,0.9412,0.0474,0.2487,0.0056,0.3934,0.0102,0.0588,0.0474,41.3
0.2,acMH,0.9168,0.015,0.2878,0.0067,0.438,0.0069,0.0832,0.015,49.0
0.2,AWSGLD,0.9407,0.0598,0.2756,0.0103,0.4263,0.0186,0.0593,0.0598,45.8
0.2,SGLD,0.8931,0.0211,0.2872,0.014,0.4343,0.0156,0.1069,0.0211,50.2
0.2,qSGLD,0.9272,0.0321,0.275,0.0083,0.4241,0.0118,0.0728,0.0321,46.3
0.2,cycSGLD,0.9132,0.0006,0.2699,0.0019,0.4166,0.0023,0.0868,0.0006,46.1
0.2,SGHMC,0.9266,0.0441,0.275,0.0053,0.4239,0.0084,0.0734,0.0441,46.4
0.3,acMH,0.8691,0.0217,0.341,0.0134,0.4898,0.0168,0.1309,0.0217,61.2
0.3,AWSGLD,0.8775,0.084,0.334,0.0185,0.4836,0.0324,0.1225,0.084,59.7
0.3,SGLD,0.8241,0.0374,0.3346,0.0204,0.4756,0.0239,0.1759,0.0374,63.4
0.3,qSGLD,0.8805,0.0272,0.3295,0.01,0.4795,0.0134,0.1195,0.0272,58.4
0.3,cycSGLD,0.9,0.0112,0.3288,0.0041,0.4817,0.006,0.1,0.0112,57.0
0.3,SGHMC,0.8934,0.0386,0.3327,0.0116,0.4845,0.0133,0.1066,0.0386,58.2
