gamma,sampler,precision,precision_sd,recall,recall_sd,F,F_sd,realFDR,realFDR_sd,n_selected
0.05,acMH,0.992,0.023,0.243,0.011,0.390,0.014,0.008,0.023,12.0
0.05,AWSGLD,1.000,0.000,0.204,0.000,0.339,0.000,0.000,0.000,10.0
0.1,acMH,0.953,0.082,0.308,0.025,0.465,0.036,0.047,0.082,15.9
0.1,AWSGLD,0.975,0.038,0.224,0.000,0.365,0.003,0.025,0.038,11.3
0.15,acMH,0.818,0.056,0.345,0.011,0.484,0.005,0.182,0.056,20.8
0.15,AWSGLD,0.966,0.054,0.265,0.000,0.416,0.005,0.034,0.054,13.5
0.2,acMH,0.694,0.047,0.369,0.011,0.481,0.012,0.306,0.047,26.2
0.2,AWSGLD,0.916,0.093,0.300,0.009,0.451,0.020,0.084,0.093,16.2
0.25,acMH,0.670,0.015,0.386,0.030,0.489,0.026,0.330,0.015,28.2
0.25,AWSGLD,0.823,0.099,0.331,0.030,0.470,0.038,0.177,0.099,19.9
0.3,acMH,0.671,0.024,0.412,0.051,0.509,0.042,0.329,0.024,30.1
0.3,AWSGLD,0.782,0.088,0.398,0.047,0.522,0.029,0.218,0.088,25.5
