sampler,seed,minU
AWSGLD,0,286.53
AWSGLD,1,284.72
AWSGLD,2,286.87
AWSGLD,3,292.12
AWSGLD,4,285.03
AWSGLD,5,286.44
AWSGLD,6,284.94
AWSGLD,7,290.98
AWSGLD,8,286.1
AWSGLD,9,288.64
SGHMC,0,390.06
SGHMC,1,389.65
SGHMC,2,362.47
SGHMC,3,384.4
SGHMC,4,412.4
SGHMC,5,392.14
SGHMC,6,382.96
SGHMC,7,367.47
SGHMC,8,399.52
SGHMC,9,377.59
SGLD,0,384.94
SGLD,1,389.83
SGLD,2,380.23
SGLD,3,383.55
SGLD,4,388.36
SGLD,5,392.95
SGLD,6,395.68
SGLD,7,396.59
SGLD,8,386.84
SGLD,9,395.9
qSGLD,0,348.99
qSGLD,1,354.46
qSGLD,2,339.47
qSGLD,3,349.63
qSGLD,4,371.32
qSGLD,5,351.17
qSGLD,6,342.17
qSGLD,7,343.84
qSGLD,8,383.72
qSGLD,9,344.74
cycSGLD,0,257.36
cycSGLD,1,257.15
cycSGLD,2,257.04
cycSGLD,3,257.13
cycSGLD,4,257.22
cycSGLD,5,257.01
cycSGLD,6,257.03
cycSGLD,7,257.17
cycSGLD,8,257.3
cycSGLD,9,257.28
acMH,0,271.43
acMH,1,271.15
acMH,2,270.98
acMH,3,273.31
acMH,4,273.54
acMH,5,274.05
acMH,6,272.87
acMH,7,271.56
acMH,8,273.12
acMH,9,272.47
