node,rhat,group,theta_star,Y,conflict,degree,wmean_Ninit,wmean_Winit,wmean_Sinit
135,1.235,N,-0.77,0,0,44,-0.168,0.252,0.659
56,1.172,N,-0.758,1,0,43,1.207,0.795,0.515
62,1.142,N,-1.005,0,0,49,0.249,0.579,0.954
122,1.131,S,2.297,1,0,11,1.328,1.677,1.868
34,1.118,N,-0.914,1,1,45,1.03,0.624,1.082
144,1.117,N,-1.049,1,0,48,1.013,0.498,0.884
54,1.116,S,2.71,0,0,14,1.5,0.951,0.946
95,1.114,N,-0.748,0,0,42,0.677,0.176,0.504
41,1.106,N,-1.14,1,1,38,0.367,0.744,0.793
19,1.101,N,-0.561,0,0,46,-0.081,0.231,0.454
94,1.1,N,-0.342,1,0,45,0.871,0.989,0.534
73,1.096,N,-0.624,0,0,51,0.188,0.68,0.397
100,1.092,N,-0.748,0,0,45,0.343,0.634,0.118
167,1.088,N,-0.875,0,0,56,0.82,0.442,0.318
190,1.087,N,-1.07,0,0,36,-0.0,0.208,-0.224
134,1.086,N,-1.563,0,0,43,0.816,0.593,0.362
47,1.085,N,-0.952,1,0,48,0.789,0.645,1.066
36,1.084,N,-0.924,1,0,45,1.239,0.783,0.968
125,1.083,S,2.494,1,0,10,1.757,1.368,1.402
120,1.083,W,1.717,1,0,17,1.596,1.653,1.197
61,1.079,S,3.101,1,0,16,2.281,1.846,1.87
123,1.079,S,2.152,1,0,12,1.571,1.523,1.965
66,1.078,N,-0.802,0,0,42,-0.107,0.237,0.336
101,1.078,N,-0.81,1,0,41,0.823,1.051,0.587
115,1.074,N,-0.6,0,0,43,0.441,0.238,-0.008
91,1.074,S,2.41,1,0,20,1.945,2.108,2.452
52,1.072,N,-1.217,1,0,50,0.698,0.807,1.083
17,1.071,N,-1.187,0,0,43,0.715,0.469,0.217
189,1.071,N,-1.243,0,0,54,0.055,0.288,0.566
106,1.07,S,2.326,0,1,18,1.799,1.687,2.172
152,1.069,N,-0.655,0,0,43,0.665,0.277,0.306
103,1.069,N,-1.04,0,0,52,0.528,0.596,0.172
160,1.069,N,-0.869,0,0,40,0.711,0.303,0.521
67,1.068,N,-0.946,0,0,46,0.714,0.192,0.213
157,1.067,W,0.836,0,0,19,1.794,1.425,1.3
70,1.067,N,-0.82,0,0,47,0.333,0.753,0.665
1,1.066,S,2.522,1,0,16,1.668,1.892,2.09
92,1.066,N,-0.578,0,0,47,0.354,0.291,0.679
96,1.064,W,0.901,0,0,20,1.79,1.248,1.359
111,1.064,N,-0.918,1,0,54,0.923,1.274,0.911
132,1.063,S,2.443,0,1,17,1.695,1.744,2.188
20,1.063,N,-0.523,0,0,53,0.145,0.218,0.599
78,1.062,N,-0.923,0,0,43,0.043,0.409,0.127
116,1.061,S,2.341,0,1,15,1.377,1.641,1.897
