method,seed,lowest_U_stop,ess
acMH,0,312.0,8.06
acMH,1,312.0,8.0
acMH,2,312.0,7.46
acMH,3,312.0,7.08
acMH,4,312.0,7.38
SGLD,0,335.0,5.62
SGLD,1,360.2,5.41
SGLD,2,351.0,5.86
SGLD,3,336.4,5.72
SGLD,4,375.8,5.49
qSGLD,0,312.0,14.23
qSGLD,1,312.0,12.08
qSGLD,2,312.0,15.88
qSGLD,3,312.0,13.62
qSGLD,4,319.5,9.81
cycSGLD,0,312.0,4.79
cycSGLD,1,312.0,4.53
cycSGLD,2,312.0,4.46
cycSGLD,3,312.0,5.07
cycSGLD,4,312.0,4.44
SGHMC,0,334.3,7.39
SGHMC,1,359.3,6.97
SGHMC,2,350.8,8.03
SGHMC,3,336.0,7.46
SGHMC,4,375.1,6.5
AWSGLD,0,312.0,25.38
AWSGLD,1,312.0,26.79
AWSGLD,2,312.0,27.52
AWSGLD,3,312.0,26.46
AWSGLD,4,312.0,25.82
