method,seed,lowest_U_clamped,min_U,ess,cutoff
acMH,0,70.0,69.1,77.29,70.0
acMH,1,70.0,68.7,47.24,70.0
acMH,2,70.5,70.5,60.67,70.0
acMH,3,70.0,68.4,62.67,70.0
acMH,4,70.0,70.0,68.59,70.0
SGLD,0,99.6,99.6,11.38,70.0
SGLD,1,91.3,91.3,11.39,70.0
SGLD,2,99.7,99.7,11.66,70.0
SGLD,3,89.7,89.7,11.59,70.0
SGLD,4,106.8,106.8,11.71,70.0
qSGLD,0,82.9,82.9,19.94,70.0
qSGLD,1,79.6,79.6,24.86,70.0
qSGLD,2,92.4,92.4,14.94,70.0
qSGLD,3,84.1,84.1,22.04,70.0
qSGLD,4,82.8,82.8,29.87,70.0
cycSGLD,0,70.0,66.6,22.44,70.0
cycSGLD,1,70.0,62.1,31.38,70.0
cycSGLD,2,70.0,67.2,27.9,70.0
cycSGLD,3,70.0,63.4,29.94,70.0
cycSGLD,4,70.0,68.4,22.55,70.0
SGHMC,0,88.2,88.2,13.29,70.0
SGHMC,1,83.7,83.7,13.69,70.0
SGHMC,2,89.6,89.6,13.66,70.0
SGHMC,3,85.5,85.5,13.47,70.0
SGHMC,4,91.9,91.9,13.94,70.0
AWSGLD,0,70.0,69.3,129.23,70.0
AWSGLD,1,70.0,64.8,130.68,70.0
AWSGLD,2,70.1,70.1,130.82,70.0
AWSGLD,3,70.0,66.1,121.71,70.0
AWSGLD,4,71.4,71.4,118.61,70.0
