method,chain,min_U,lowest_U_clamped,ess,cutoff
acMH,0,69.52,71.0,62.43,71.0
acMH,1,69.83,71.0,73.11,71.0
acMH,2,72.1,72.1,74.77,71.0
acMH,3,114.06,114.06,24.22,71.0
SGLD,0,96.53,96.53,11.4,71.0
SGLD,1,83.51,83.51,11.23,71.0
SGLD,2,81.95,81.95,11.44,71.0
SGLD,3,177.23,177.23,10.95,71.0
qSGLD,0,101.37,101.37,17.85,71.0
qSGLD,1,83.12,83.12,18.18,71.0
qSGLD,2,83.28,83.28,31.03,71.0
qSGLD,3,188.22,188.22,13.13,71.0
cycSGLD,0,66.59,71.0,33.75,71.0
cycSGLD,1,66.61,71.0,50.88,71.0
cycSGLD,2,66.66,71.0,15.97,71.0
cycSGLD,3,66.6,71.0,31.52,71.0
SGHMC,0,86.15,86.15,13.13,71.0
SGHMC,1,83.46,83.46,13.09,71.0
SGHMC,2,84.43,84.43,14.26,71.0
SGHMC,3,144.63,144.63,11.54,71.0
AWSGLD,0,69.5,71.0,114.49,71.0
AWSGLD,1,69.49,71.0,112.49,71.0
AWSGLD,2,69.4,71.0,127.49,71.0
AWSGLD,3,68.65,71.0,140.45,71.0
