metric,acMH,AWSGLD,SGLD,qSGLD,cycSGLD,SGHMC,acMH_sd,AWSGLD_sd,SGLD_sd,qSGLD_sd,cycSGLD_sd,SGHMC_sd
basins,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
escape,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
spear,0.1559,0.6974,0.2208,0.3781,0.7054,0.4491,0.1570,0.0506,0.2196,0.1401,0.0619,0.2106
auc,0.5798,0.8701,0.5945,0.6808,0.8719,0.7212,0.0790,0.0252,0.1121,0.0759,0.0316,0.1101
ndcg,0.6678,0.9852,0.7035,0.8684,0.9899,0.8721,0.1371,0.0181,0.1530,0.1075,0.0202,0.1288
mse,3.1697,2.7620,3.1623,2.7986,2.6235,2.9704,0.3253,0.2568,0.8566,0.3785,0.2736,0.8596
sig,0.0000,0.9052,0.6216,0.6905,0.3233,0.7324,0.0000,0.0726,0.0095,0.0128,0.0023,0.0164
cov90,0.0000,0.6420,0.4540,0.5360,0.1810,0.5430,0.0000,0.0271,0.0463,0.0354,0.0107,0.0339
jaccard,0.0643,0.0789,0.0896,0.0941,0.0675,0.0862,0.0228,0.0271,0.0530,0.0354,0.0292,0.0492
P0.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
R0.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
F0.05,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
rFDR0.05,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
P0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.4000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4899
R0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0039,0.0000,0.0000,0.0000,0.0000,0.0000,0.0048
F0.1,0.0000,0.0000,0.0000,0.0000,0.0000,0.0077,0.0000,0.0000,0.0000,0.0000,0.0000,0.0094
rFDR0.1,1.0000,1.0000,1.0000,1.0000,1.0000,0.6000,0.0000,0.0000,0.0000,0.0000,0.0000,0.4899
P0.15,0.0000,0.0000,0.5473,0.9200,0.0000,0.3313,0.0000,0.0000,0.3323,0.1600,0.0000,0.4080
R0.15,0.0000,0.0000,0.0845,0.0480,0.0000,0.0940,0.0000,0.0000,0.0652,0.0265,0.0000,0.1231
F0.15,0.0000,0.0000,0.1352,0.0901,0.0000,0.1454,0.0000,0.0000,0.0969,0.0474,0.0000,0.1869
rFDR0.15,1.0000,1.0000,0.4527,0.0800,1.0000,0.6687,0.0000,0.0000,0.3323,0.1600,0.0000,0.4080
P0.2,0.6229,0.8000,0.6871,0.8059,0.9667,0.5706,0.3378,0.4000,0.2122,0.1065,0.0667,0.3228
R0.2,0.0323,0.0256,0.3531,0.2763,0.0845,0.3274,0.0172,0.0188,0.2065,0.0861,0.0339,0.3460
F0.2,0.0613,0.0493,0.3880,0.4044,0.1538,0.3163,0.0326,0.0355,0.1562,0.1020,0.0575,0.2919
rFDR0.2,0.3771,0.2000,0.3129,0.1941,0.0333,0.4294,0.3378,0.4000,0.2122,0.1065,0.0667,0.3228
P0.3,0.5150,0.5216,0.5761,0.5250,0.5150,0.6475,0.0272,0.0216,0.0808,0.0257,0.0272,0.1882
R0.3,1.0000,0.9959,0.8933,0.9432,1.0000,0.8284,0.0000,0.0050,0.1947,0.0761,0.0000,0.3385
F0.3,0.6794,0.6844,0.6772,0.6737,0.6794,0.6237,0.0236,0.0194,0.0533,0.0356,0.0236,0.1876
rFDR0.3,0.4850,0.4784,0.4239,0.4750,0.4850,0.3525,0.0272,0.0216,0.0808,0.0257,0.0272,0.1882
