#truth,2741,n,5000,mu,2.5,alpha,0.1,zeta,1.0
seed,method,rmed,thS,thW,thN,piS,piW,piN,spearman,kendall,topk,ndcg,mse,auc,sigma_raw,cov90,jaccard,P0.05,R0.05,F0.05,rFDR0.05,nsel0.05,P0.1,R0.1,F0.1,rFDR0.1,nsel0.1,P0.15,R0.15,F0.15,rFDR0.15,nsel0.15,P0.2,R0.2,F0.2,rFDR0.2,nsel0.2,P0.3,R0.3,F0.3,rFDR0.3,nsel0.3
0,tMH,3.7797119907954193,2.8518368257571725,1.9382307218463994,0.8200445318633881,0.9314936930920513,0.8504374143336736,0.6730413152112207,0.7066635371945414,0.4988399279855971,0.8151779230210603,0.8325504346959011,5.219527958891176,0.8728725189492044,1.3066664847488774,0.58,0.4500613240441797,0.8723920426977195,0.6528685548293391,0.7468328141225337,0.12760795730228044,2061,0.6869316705637828,0.9600580973129993,0.8008480993487809,0.3130683294362172,3849,0.5767295597484277,0.9989106753812637,0.7312599681020734,0.42327044025157234,4770,0.5508,1.0,0.7103430487490328,0.4492,5000,0.5508,1.0,0.7103430487490328,0.4492,5000
0,SGLD,1.0710996070299552,1.0288661599017455,0.8939501152868145,0.8841474964644899,0.7366542184204836,0.7096662144214002,0.7076433333338602,0.7543142633565705,0.5188354470894179,0.8140885984023238,0.8399866793629743,4.7270120331006025,0.8837054626606423,0.08844776004894903,0.0074,0.8066342630860052,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,0.5508,1.0,0.7103430487490328,0.4492,5000
0,qSGLD,23.88976827901353,84.51935998616791,39.03771655377008,4.141797530149439,0.942043691531864,0.7567815227193856,0.5313118224152408,0.5134356238014248,0.34975587117423484,0.7222222222222222,0.7214139230955031,6078.007212007923,0.7261316980207208,84.68745124474259,0.7834,0.40398591483187807,0.6314741035856574,0.9208424110384895,0.7491875923190546,0.36852589641434264,4016,0.6140599197924038,0.9451706608569354,0.7444587444587444,0.3859400802075961,4239,0.5936734239251503,0.9676833696441539,0.7358829214413916,0.4063265760748496,4489,0.5709792409310128,0.9887436456063907,0.723913332447162,0.42902075906898723,4769,0.5508,1.0,0.7103430487490328,0.4492,5000
0,cycSGLD,57.50292795851331,6.863640262847015,3.933815831596109,0.48383592986038115,0.6616314156597168,0.5840892128368359,0.5078581576298457,0.12634799257391968,0.0839500700140028,0.5987654320987654,0.5970127019603797,366.80705691276023,0.5660294327816546,28.622483870256158,0.8816,0.3914566768917401,0.5959236493044322,0.6688453159041394,0.6302822925577416,0.4040763506955678,3091,0.5939117199391172,0.7084241103848947,0.6461334658055969,0.4060882800608828,3285,0.589434395635946,0.7454611474219317,0.6583293249959916,0.410565604364054,3483,0.5844366387462848,0.7854030501089324,0.6701781564678544,0.41556336125371524,3701,0.5725768321513003,0.879448075526507,0.6935853379152349,0.42742316784869977,4230
0,SGHMC,1.07085102043237,1.12758728901058,0.9327778112433184,0.8761257793885409,0.7553113863876735,0.7175581003153414,0.7059489755540814,0.8364819721472788,0.6116463292658532,0.8533042846768337,0.8738885475992118,4.617596889660801,0.9325506298294522,0.21308502900467782,0.0238,0.7140555662269258,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,1.0,0.00036310820624546115,0.0007259528130671507,0.0,1,0.5508,1.0,0.7103430487490328,0.4492,5000
0,AWSGLD,23.889329782290325,84.52248033610962,39.040140930302414,4.143489589522234,0.9420518781096199,0.7567939220883421,0.5313239543834397,0.5134425945537037,0.34976003200640127,0.7222222222222222,0.7214139230955031,6078.263174110022,0.7261333147090834,84.66609297487214,0.7834,0.40398591483187807,0.6314741035856574,0.9208424110384895,0.7491875923190546,0.36852589641434264,4016,0.6140599197924038,0.9451706608569354,0.7444587444587444,0.3859400802075961,4239,0.5936734239251503,0.9676833696441539,0.7358829214413916,0.4063265760748496,4489,0.5709792409310128,0.9887436456063907,0.723913332447162,0.42902075906898723,4769,0.5508,1.0,0.7103430487490328,0.4492,5000
1,tMH,3.7983867361657193,3.0371903459361826,2.0473964169680676,0.9245706734899107,0.9420645112045334,0.8615033103972133,0.6926903791498675,0.7109383409495335,0.5003899979995999,0.8116413593637021,0.829012698788519,5.660083913057199,0.8719362756997457,1.3269822328832261,0.5648,0.4574466320007722,0.8411214953271028,0.7483731019522777,0.7920413238951599,0.1588785046728972,2461,0.658809234507898,0.980115690527838,0.7879668652812092,0.3411907654921021,4115,0.5598299250860498,0.9996384671005062,0.7177157689811811,0.4401700749139502,4939,0.5532,1.0,0.7123358228174093,0.4468,5000,0.5532,1.0,0.7123358228174093,0.4468,5000
1,SGLD,1.0622785665775631,1.0212773439143328,0.8853901731740447,0.8682822048467002,0.735177949079608,0.7078999615713673,0.7043501736941878,0.7742338427133536,0.5395357471494299,0.8203181489515546,0.8453757642615397,4.673370066817381,0.8943582742484355,0.08956817891370684,0.0068,0.8042792033078784,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,0.5532,1.0,0.7123358228174093,0.4468,5000
1,qSGLD,21.656399833104743,81.60296780723581,39.491829227362224,-6.46864866802706,0.9254309301311272,0.7643928275140207,0.45643743001044745,0.5307077989563118,0.36284712942588515,0.7418655097613883,0.7416334612405224,5971.4585492870065,0.7414127035605003,84.64419903452715,0.7938,0.4116576557697935,0.6499227202472952,0.9121475054229935,0.7590252707581229,0.3500772797527048,3882,0.6322596388482187,0.9367317425885756,0.75495337995338,0.3677403611517814,4098,0.6148882230928785,0.9645697758496024,0.7510204081632653,0.38511177690712145,4339,0.5904555314533623,0.9840925524222705,0.7380694143167028,0.40954446854663773,4610,0.5532,1.0,0.7123358228174093,0.4468,5000
1,cycSGLD,54.5526196974055,6.759004117966684,3.3580652348940045,-0.569932410698556,0.6562603048511799,0.58194128870048,0.49236361384678556,0.15008741582749663,0.10015523104620924,0.611352133044107,0.6110423230717298,376.4841984492281,0.5804250487600101,28.10425105087047,0.88,0.3993897866093714,0.6032110091743119,0.6655820679681851,0.6328635269852183,0.3967889908256881,3052,0.6022797288971041,0.7067968185104845,0.6503659347970725,0.3977202711028959,3246,0.5999418942475305,0.7465654374548084,0.6652706185567011,0.4000581057524695,3442,0.593929450369155,0.7852494577006508,0.6763194768799626,0.40607054963084493,3657,0.5815789473684211,0.8788864786695589,0.6999712064497552,0.41842105263157897,4180
1,SGHMC,1.0657595597367135,1.115008551601919,0.9313907149135746,0.857018275780675,0.7529785217689476,0.7172796153735639,0.7019723383129758,0.8525828282153131,0.6290746149229847,0.8629790310918294,0.8820845665433155,4.567599828116196,0.9399377982160924,0.2096096248687585,0.0202,0.7428443982638803,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,1.0,0.00036153289949385393,0.0007228044813877845,0.0,1,0.5532,1.0,0.7123358228174093,0.4468,5000
1,AWSGLD,21.655904712152992,81.60619247190064,39.494322687554224,-6.467039417686553,0.9254380491809078,0.7644086502201388,0.4564487348923037,0.5307182600767303,0.36285481096219246,0.7418655097613883,0.7416334612405224,5971.705416596975,0.7414149692098256,84.62282713405553,0.7938,0.4116576557697935,0.6499227202472952,0.9121475054229935,0.7590252707581229,0.3500772797527048,3882,0.6322596388482187,0.9367317425885756,0.75495337995338,0.3677403611517814,4098,0.6148882230928785,0.9645697758496024,0.7510204081632653,0.38511177690712145,4339,0.5904555314533623,0.9840925524222705,0.7380694143167028,0.40954446854663773,4610,0.5532,1.0,0.7123358228174093,0.4468,5000
2,tMH,3.7760589522822525,3.0172407317259355,1.8707273359212853,0.8836379816817576,0.9406429586344951,0.8412210839530885,0.6863241943073662,0.7264860019874401,0.5124895379075816,0.8200143988480921,0.8388511595036122,5.364807289379344,0.8790211634554385,1.3255696965848505,0.5806,0.46481840055786444,0.8728552573691157,0.7141828653707704,0.7855870124727778,0.1271447426308843,2273,0.681085231635526,0.9578833693304536,0.7961106955871354,0.318914768364474,3907,0.5752799668187474,0.9985601151907847,0.73,0.42472003318125257,4822,0.5556,1.0,0.7143224479300591,0.4444,5000,0.5556,1.0,0.7143224479300591,0.4444,5000
2,SGLD,1.0583194052517129,1.0354139933195925,0.9013442803423282,0.8937081488226188,0.7379237758106204,0.711185110787771,0.7096185060544383,0.7469056130122244,0.510690298059612,0.8012958963282938,0.828823625054472,4.777521513175955,0.8723360997006828,0.08509713210423563,0.0082,0.8211604025055634,1.0,0.0003599712023038157,0.0007196833393306944,0.0,1,1.0,0.0003599712023038157,0.0007196833393306944,0.0,1,1.0,0.0003599712023038157,0.0007196833393306944,0.0,1,1.0,0.0003599712023038157,0.0007196833393306944,0.0,1,0.5556,1.0,0.7143224479300591,0.4444,5000
