K,n,gamma,method,precision,recall,F1,realFDR
10,322,0.05,tMH,0.8063915661660778,0.5717948717948718,0.6641044681645323,0.1936084338339222
10,322,0.05,SGLD,0.6,0.0038461538461538464,0.007643312101910829,0.4
10,322,0.05,qSGLD,0.7923357085953647,0.47435897435897434,0.5908484881689043,0.20766429140463524
10,322,0.05,cycSGLD,1.0,0.038461538461538464,0.07407407407407407,0.0
10,322,0.05,SGHMC,1.0,0.00641025641025641,0.012738853503184714,0.0
10,322,0.05,AWSGLD,0.7955139007547023,0.4833333333333334,0.5960988022604881,0.20448609924529765
10,322,0.1,tMH,0.6886309170458651,0.7897435897435898,0.7307966015916687,0.311369082954135
10,322,0.1,SGLD,0.7333333333333333,0.00641025641025641,0.012674758642791332,0.26666666666666666
10,322,0.1,qSGLD,0.7028661573341444,0.7307692307692307,0.7154529242275725,0.2971338426658555
10,322,0.1,cycSGLD,0.9166666666666666,0.14102564102564102,0.2444444444444444,0.08333333333333333
10,322,0.1,SGHMC,1.0,0.021794871794871794,0.04251961538801759,0.0
10,322,0.1,AWSGLD,0.6959637104742172,0.7346153846153847,0.7124138780645809,0.3040362895257827
10,322,0.15,tMH,0.6006193469247952,0.8807692307692309,0.7105036774791312,0.3993806530752047
10,322,0.15,SGLD,0.6907936507936508,0.03461538461538462,0.06581474770205152,0.3092063492063492
10,322,0.15,qSGLD,0.6147817296560839,0.8474358974358974,0.7121528900070653,0.3852182703439161
10,322,0.15,cycSGLD,0.7833333333333333,0.30128205128205127,0.43518518518518523,0.2166666666666667
10,322,0.15,SGHMC,0.8825311942959001,0.10512820512820513,0.1872439861053095,0.11746880570409982
10,322,0.15,AWSGLD,0.609725595798116,0.8448717948717949,0.7072636706692974,0.39027440420188386
10,322,0.2,tMH,0.5520496997125559,0.9435897435897436,0.6941352340022421,0.4479503002874442
10,322,0.2,SGLD,0.6725372050816697,0.10384615384615385,0.17922737259753835,0.3274627949183303
10,322,0.2,qSGLD,0.5601086184185288,0.9205128205128205,0.696076323485075,0.4398913815814714
10,322,0.2,cycSGLD,0.704238472286912,0.5128205128205128,0.5934737711689385,0.29576152771308806
10,322,0.2,SGHMC,0.8427016328550222,0.25769230769230766,0.3930359778399318,0.15729836714497775
10,322,0.2,AWSGLD,0.5555348633221617,0.9141025641025641,0.6904511131848197,0.4444651366778383
10,322,0.3,tMH,0.4941494818714659,0.985897435897436,0.6579797615456251,0.5058505181285341
10,322,0.3,SGLD,0.5978607458307711,0.37307692307692303,0.45667795808351974,0.4021392541692289
10,322,0.3,qSGLD,0.4932820048615092,0.9910256410256411,0.6585635132686443,0.5067179951384908
10,322,0.3,cycSGLD,0.4844720496894411,1.0,0.6527196652719666,0.515527950310559
10,322,0.3,SGHMC,0.6919147278857667,0.6089743589743589,0.644116685335329,0.3080852721142332
10,322,0.3,AWSGLD,0.4907367645944218,0.9871794871794872,0.6554496594804066,0.5092632354055782
