config,n,mu,alpha,budget,MH,method,minU,minU_std,gap,gap_std,dist,dist_std,Te
base,100,1.2,0.35,1500,acMH,AWSGLD,60.9,3.57,1.04,0.03,1.52,0.08,~1517
base,100,1.2,0.35,1500,acMH,qSGLD,61.31,3.59,1.44,0.04,2.01,0.08,1743
base,100,1.2,0.35,1500,acMH,cycSGLD,61.9,3.73,2.03,0.26,3.36,0.53,1774
base,100,1.2,0.35,1500,acMH,acMH,62.08,3.51,2.21,0.28,2.44,0.13,1787
base,100,1.2,0.35,1500,acMH,SGHMC,65.95,3.94,6.09,0.94,6.17,1.0,na
base,100,1.2,0.35,1500,acMH,SGLD,102.39,3.77,42.52,1.83,11.61,0.9,na
Easy,100,2.5,0.1,1512,acMH,AWSGLD,64.48,3.67,1.0,0.04,1.57,0.05,~1512
Easy,100,2.5,0.1,1512,acMH,qSGLD,64.77,3.67,1.29,0.05,1.87,0.13,1743
Easy,100,2.5,0.1,1512,acMH,acMH,65.73,3.6,2.25,0.25,2.71,0.4,1817
Easy,100,2.5,0.1,1512,acMH,cycSGLD,65.81,3.79,2.33,0.27,4.9,0.7,2047
Easy,100,2.5,0.1,1512,acMH,SGHMC,72.18,4.59,8.7,1.16,9.3,1.06,na
Easy,100,2.5,0.1,1512,acMH,SGLD,112.99,4.91,49.5,1.76,15.38,1.03,na
Moderate,100,1.8,0.2,1514,acMH,AWSGLD,63.73,3.22,1.0,0.03,1.64,0.1,~1514
Moderate,100,1.8,0.2,1514,acMH,qSGLD,64.02,3.23,1.29,0.04,1.86,0.07,1743
Moderate,100,1.8,0.2,1514,acMH,cycSGLD,64.67,3.48,1.93,0.3,4.11,0.76,1913
Moderate,100,1.8,0.2,1514,acMH,acMH,64.99,3.3,2.25,0.19,2.51,0.32,1794
Moderate,100,1.8,0.2,1514,acMH,SGHMC,69.86,4.2,7.13,1.33,7.81,1.32,na
Moderate,100,1.8,0.2,1514,acMH,SGLD,108.33,5.04,45.6,2.96,13.52,1.35,na
Difficult,100,1.0,0.4,1491,acMH,AWSGLD,58.97,3.36,1.03,0.03,1.52,0.07,~1491
Difficult,100,1.0,0.4,1491,acMH,qSGLD,59.36,3.38,1.43,0.05,2.0,0.07,1743
Difficult,100,1.0,0.4,1491,acMH,cycSGLD,59.81,3.49,1.87,0.22,2.86,0.37,1702
Difficult,100,1.0,0.4,1491,acMH,acMH,60.24,3.47,2.3,0.23,2.49,0.2,1823
Difficult,100,1.0,0.4,1491,acMH,SGHMC,63.52,3.68,5.59,0.76,5.3,0.87,na
Difficult,100,1.0,0.4,1491,acMH,SGLD,99.36,3.48,41.42,1.88,10.74,0.85,na
