config,n,mu,alpha,budget,MH,method,minU,minU_std,gap,gap_std,dist,dist_std,Te
Moderate,100,1.8,0.2,1464,tMH,AWSGLD,63.74,3.22,1.0,0.04,1.69,0.09,na
Moderate,100,1.8,0.2,1464,tMH,qSGLD,64.4,3.24,1.66,0.05,2.16,0.18,na
Moderate,100,1.8,0.2,1464,tMH,tMH,65.25,3.26,2.51,0.25,2.77,0.2,na
Moderate,100,1.8,0.2,1464,tMH,cycSGLD,65.69,3.33,2.95,0.5,4.95,0.75,na
Moderate,100,1.8,0.2,1464,tMH,SGHMC,72.49,2.82,9.76,1.13,8.98,0.97,na
Moderate,100,1.8,0.2,1464,tMH,SGLD,119.4,5.48,56.67,3.01,15.44,0.95,na
Moderate,1000,1.8,0.2,2483,tMH,AWSGLD,627.25,11.72,1.03,0.04,1.42,0.03,na
Moderate,1000,1.8,0.2,2483,tMH,qSGLD,628.0,11.72,1.79,0.01,1.88,0.01,na
Moderate,1000,1.8,0.2,2483,tMH,cycSGLD,629.68,12.08,3.47,0.38,6.08,0.88,na
Moderate,1000,1.8,0.2,2483,tMH,SGHMC,656.32,13.65,30.1,3.19,19.15,1.54,na
Moderate,1000,1.8,0.2,2483,tMH,SGLD,989.13,18.44,362.91,9.07,38.96,1.84,na
Moderate,1000,1.8,0.2,2483,tMH,tMH,1251.42,18.61,625.2,9.8,39.69,0.89,na
Moderate,5000,1.8,0.2,2999,tMH,AWSGLD,3196.11,18.56,1.75,0.09,1.83,0.05,na
Moderate,5000,1.8,0.2,2999,tMH,qSGLD,3197.12,18.51,2.76,0.01,2.3,0.01,na
Moderate,5000,1.8,0.2,2999,tMH,cycSGLD,3204.57,18.95,10.21,0.46,13.57,0.56,na
Moderate,5000,1.8,0.2,2999,tMH,SGHMC,3323.05,19.1,128.69,1.58,44.72,0.79,na
Moderate,5000,1.8,0.2,2999,tMH,SGLD,4801.19,24.2,1606.83,8.0,87.29,0.86,na
Moderate,5000,1.8,0.2,2999,tMH,tMH,9055.81,62.65,5861.45,50.02,111.29,0.61,na
Moderate,10000,1.8,0.2,2999,tMH,AWSGLD,6371.66,16.55,3.86,0.07,2.71,0.02,na
Moderate,10000,1.8,0.2,2999,tMH,qSGLD,6373.29,16.49,5.49,0.01,3.24,0.01,na
Moderate,10000,1.8,0.2,2999,tMH,cycSGLD,6388.34,16.69,20.54,0.26,19.37,0.18,na
Moderate,10000,1.8,0.2,2999,tMH,SGHMC,6622.3,17.71,254.51,4.22,63.14,0.45,na
Moderate,10000,1.8,0.2,2999,tMH,SGLD,9551.53,20.96,3183.73,17.95,122.6,0.67,na
Moderate,10000,1.8,0.2,2999,tMH,tMH,19043.05,53.04,12675.25,46.6,171.61,1.33,na
