seed,method,minU,gap,pidist,pirms,spear,topk,ndcg,mse,auc,time
0,SGLD,607.1875317746778,296.4355686559572,8.196548848421987,0.2591976331384371,-0.04507775707775708,0.5178907721280602,0.5122478523073469,3.1195101691940534,0.48342629066130205,0.29515695571899414
0,qSGLD,312.4507156862617,1.698752567541021,0.4017353297975238,0.012703986587190859,0.8281947241947242,0.8531073446327684,0.8774756258833842,2.416989566188785,0.9290673348351062,0.5831198692321777
0,cycSGLD,316.6963981737318,5.944435055011127,3.7370611087669503,0.118176248589378,0.7815861615861617,0.8418079096045198,0.8605093720698624,2.069682107957892,0.9075526323186328,0.2958643436431885
0,SGHMC,330.4515991303545,19.699636011633856,5.415876136906452,0.17126504117978297,0.04624293424293424,0.5480225988700564,0.5638129850368605,2.4099164086870752,0.5339364517204133,0.300048828125
0,AWSGLD,311.7523627872315,1.0003996685108518,0.3018330753937872,0.009544799914176913,0.8336493896493897,0.8455743879472694,0.872159289425378,2.436750537363004,0.9305008452491378,0.7549765110015869
1,SGLD,618.1958356609898,292.6272967699666,7.984388865412901,0.25248854539192367,0.0492019452019452,0.5693693693693693,0.5843925244623787,2.8922098463738237,0.524603704828424,0.2986600399017334
1,qSGLD,327.20335954594066,1.634820654917462,0.3947450793350304,0.012482935458425612,0.8375669255669256,0.8666666666666667,0.88816987951966,2.1397559006959344,0.9431885818402672,0.6060762405395508
1,cycSGLD,330.8761356792363,5.307596788213118,3.5964126666911826,0.11372855432624114,0.8233518673518674,0.8738738738738738,0.8896806205679683,1.850591417966527,0.9394918514019637,0.29747462272644043
1,SGHMC,342.8446276647855,17.276088773762297,5.160344364938361,0.16318441704020362,0.6035664515664516,0.7783783783783784,0.7945015462455712,2.052242682029597,0.8238121267334751,0.29930973052978516
1,AWSGLD,326.5722450787583,1.0037061877351334,0.3101882804370498,0.00980901469672127,0.8417233457233457,0.8702702702702703,0.8909847512378319,2.147788245228542,0.9449215507642473,0.7701401710510254
2,SGLD,631.0121066872471,291.48377220824165,7.868083206372278,0.24881063751857047,0.07645883245883246,0.5743119266055046,0.5921740119063208,2.7592042634765988,0.5551648351648353,0.3011894226074219
2,qSGLD,341.20551168810726,1.677177209101842,0.3976080418307521,0.012573470281846818,0.8511316791316793,0.8623853211009175,0.8857402022733354,2.087145771750821,0.943187821352959,0.6329226493835449
2,cycSGLD,344.8248077448287,5.296473265823295,3.4446528122627686,0.10892948635254734,0.8396016476016477,0.8715596330275229,0.8904359836944536,1.7473276066701346,0.9402601068656115,0.30199432373046875
2,SGHMC,357.0031660841462,17.474831605140764,4.990990916592888,0.15782899077644993,0.6306289866289867,0.7853211009174312,0.8153007527596996,1.954785577861041,0.8370763181772356,0.3053760528564453
2,AWSGLD,340.54032079550245,1.0119863164970297,0.31868909002572654,0.010077833899277445,0.8473409353409354,0.8660550458715597,0.8883556569873519,2.109347713087304,0.9440145175924992,0.8069617748260498
