function,sampler,min_f_mean,min_f_std,min_f_best
Rastrigin,AWSGLD,38.682,5.503,30.132
Rastrigin,SGHMC,100.526,16.664,79.623
Rastrigin,SGLD,173.544,23.874,131.847
Rastrigin,qSGLD,278.681,26.725,237.385
Rastrigin,cycSGLD,115.847,14.84,85.699
Rastrigin,MH,127.472,26.106,97.623
Ackley,AWSGLD,20.201,0.074,20.077
Ackley,SGHMC,20.498,0.08,20.323
Ackley,SGLD,20.586,0.168,20.319
Ackley,qSGLD,20.822,0.115,20.62
Ackley,cycSGLD,19.697,0.112,19.527
Ackley,MH,19.356,0.237,19.015
Griewank,AWSGLD,3.881,0.447,3.236
Griewank,SGHMC,4.928,0.519,4.294
Griewank,SGLD,5.005,0.537,4.361
Griewank,qSGLD,5.028,0.544,4.377
Griewank,cycSGLD,4.926,0.491,4.352
Griewank,MH,2.44,0.171,2.271
