sampler,seed,min_f
AWSGLD,0,45.438
AWSGLD,1,35.259
AWSGLD,2,30.132
AWSGLD,3,34.428
AWSGLD,4,44.052
AWSGLD,5,39.996
AWSGLD,6,41.484
AWSGLD,7,47.301
AWSGLD,8,35.84
AWSGLD,9,32.891
SGHMC,0,126.157
SGHMC,1,152.308
SGHMC,2,137.865
SGHMC,3,139.084
SGHMC,4,138.59
SGHMC,5,145.033
SGHMC,6,138.633
SGHMC,7,132.961
SGHMC,8,137.435
SGHMC,9,144.374
SGLD,0,42.211
SGLD,1,38.741
SGLD,2,44.79
SGLD,3,40.658
SGLD,4,39.566
SGLD,5,35.475
SGLD,6,42.186
SGLD,7,56.058
SGLD,8,45.886
SGLD,9,41.385
qSGLD,0,164.077
qSGLD,1,163.021
qSGLD,2,164.772
qSGLD,3,161.696
qSGLD,4,160.913
qSGLD,5,125.525
qSGLD,6,174.482
qSGLD,7,159.275
qSGLD,8,167.7
qSGLD,9,159.12
cycSGLD,0,142.385
cycSGLD,1,117.529
cycSGLD,2,119.52
cycSGLD,3,104.585
cycSGLD,4,85.699
cycSGLD,5,132.436
cycSGLD,6,108.627
cycSGLD,7,113.632
cycSGLD,8,124.478
cycSGLD,9,109.582
MH,0,185.577
MH,1,144.698
MH,2,101.421
MH,3,139.059
MH,4,105.662
MH,5,102.86
MH,6,140.783
MH,7,137.949
MH,8,97.623
MH,9,119.092
